"1er   arrondissement","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"","","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PERSONNES EXERCANT UN EMPLOI A PARIS","","","","","","","","","","","","",""
"","Total","86 108","100.0","82 045","100.0","81 372","100.0","78 664","100.0","63 056","100.0","-3.3","-19.8"
"dont :","habitent à Paris","40 940","47.5","34 260","41.8","32 072","39.4","29 900","38.0","23 531","37.3","-6.8","-21.3"
"","-  dans l'arrondissement du lieu de travail","10 624","12.3","4 610","5.6","3 704","4.6","3 096","3.9","3 392","5.4","-16.4","9.6"
"","-  dans un autre arrondissement","30 316","35.2","29 650","36.1","28 368","34.9","26 804","34.1","20 139","31.9","-5.5","-24.9"
"","habitent en banlieue  (Ile-de-France hors Paris)","43 668","50.7","45 570","55.5","45 576","56.0","44 532","56.6","36 259","57.5","-2.3","-18.6"
"","-  en Petite Couronne","29 944","34.8","28 115","34.3","26 628","32.7","25 384","32.3","20 638","32.7","-4.7","-18.7"
"","Hauts de Seine","10 896","12.7","9 390","11.4","8 756","10.8","8 400","10.7","7 313","11.6","-4.1","-12.9"
"","Seine Saint Denis","9 168","10.6","8 510","10.4","8 728","10.7","8 216","10.4","6 411","10.2","-5.9","-22.0"
"","Val de Marne","9 880","11.5","10 215","12.5","9 144","11.2","8 768","11.1","6 914","11.0","-4.1","-21.1"
"","-  en Grande Couronne","13 724","15.9","17 455","21.3","18 948","23.3","19 148","24.3","15 621","24.8","1.1","-18.4"
"","habitent en province","1 500","1.7","2 215","2.7","3 724","4.6","4 232","5.4","3 266","5.2","13.6","-22.8"
"PERSONNES AYANT UN EMPLOI ET RESIDANT A PARIS","","","","","","","","","","","","",""
"","Total","17 996","100.0","11 815","100.0","9 484","100.0","9 456","100.0","8 865","100.0","-0.3","-6.3"
"dont :","travaillent à Paris","16 464","91.5","9 730","82.4","7 792","82.2","7 304","77.2","6 593","74.4","-6.3","-9.7"
"","-  dans l'arrondissement du lieu de résidence","10 624","59.0","4 610","39.0","3 704","39.1","3 096","32.7","3 392","38.3","-16.4","9.6"
"","-  dans un autre arrondissement","5 840","32.5","5 120","43.3","4 088","43.1","4 208","44.5","3 201","36.1","2.9","-23.9"
"","travaillent en banlieue  (Ile-de-France hors Paris)","1 408","7.8","1 950","16.5","1 560","16.4","1 924","20.3","2 140","24.1","23.3","11.2"
"","-  en Petite Couronne","1 260","7.0","1 670","14.1","1 204","12.7","1 536","16.2","1 648","18.6","27.6","7.3"
"","Hauts de Seine","736","4.1","770","6.5","676","7.1","964","10.2","1 108","12.5","42.6","14.9"
"","Seine Saint Denis","248","1.4","350","3.0","208","2.2","320","3.4","276","3.1","53.8","-13.8"
"","Val de Marne","276","1.5","550","4.7","320","3.4","252","2.7","264","3.0","-21.3","4.8"
"","-  en Grande Couronne","148","0.8","280","2.4","356","3.8","388","4.1","492","5.5","9.0","26.8"
"","travaillent en province ou hors France métropolitaine","124","0.7","135","1.1","132","1.4","228","2.4","132","1.5","72.7","-42.1"
