"BONNE NOUVELLE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","10 523","","100.0","9 846","100.0","8 568","100.0","6 660","100.0","5 904","100.0","5 640","100.0","5 597","100.0","-4.5","-0.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","5 022","47.7","5 261","53.4","4 199","49.0","2 910","43.7","2 568","43.5","2 298","40.7","2 144","38.3","-10.5","-6.7"
". 2 pièces","","2 876","27.3","2 924","29.7","2 668","31.1","2 115","31.8","1 968","33.3","1 901","33.7","1 925","34.4","-3.4","1.3"
". 3 pièces","","1 727","16.4","1 128","11.5","1 119","13.1","1 120","16.8","900","15.2","937","16.6","946","16.9","4.1","1.0"
". 4 pièces","","0","","378","3.8","392","4.6","305","4.6","328","5.6","350","6.2","392","7.0","6.7","12.0"
". 5 pièces et plus","","","","155","1.6","190","2.2","210","3.2","140","2.4","154","2.7","190","3.4","10.0","23.4"
". Non déterminée","","898","8.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","7 559","76.8","6 708","78.3","5 880","88.3","5 464","92.5","5 326","94.4","5 358","95.7","-2.5","0.6"
". Chambre d'hôtel meublé","","-","","1 899","19.3","1 358","15.8","555","8.3","172","2.9","111","2.0","64","1.1","-35.5","-42.3"
". Pièce indépendante louée ou prêtée","","-","","385","3.9","484","5.6","195","2.9","224","3.8","202","3.6","173","3.1","-9.8","-14.4"
". Construction provisoire,hab. de fortune","","-","","3","0.0","18","0.2","30","0.5","0","","1","0.0","2","0.0","","100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 356","13.8","1 400","16.3","1 390","20.9","1 364","23.1","1 555","27.6","1 652","29.5","14.0","6.2"
". Locataire","","-","","7 695","78.2","6 462","75.4","4 675","70.2","3 972","67.3","3 547","62.9","3 512","62.7","-10.7","-1.0"
"d'un local loué vide HLM","","-","","-","","-","","-","","108","1.8","40","0.7","120","2.1","-63.0","200.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 504","59.3","3 253","57.7","3 023","54.0","-7.2","-7.1"
"d'un local loué meublé","","-","","-","","-","","-","","360","6.1","254","4.5","369","6.6","-29.4","45.3"
". Logé gratuitement","","-","","795","8.1","706","8.2","595","8.9","568","9.6","538","9.5","433","7.7","-5.3","-19.5"
