"ENFANTS ROUGES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","7 328","100.0","7 144","100.0","6 770","100.0","5 520","100.0","5 052","100.0","4 955","100.0","4 816","100.0","-1.9","-2.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 559","34.9","2 962","41.5","2 816","41.6","1 940","35.1","1 736","34.4","1 587","32.0","1 460","30.3","-8.6","-8.0"
". 2 pièces","","2 324","31.7","2 376","33.3","2 111","31.2","1 800","32.6","1 704","33.7","1 662","33.5","1 583","32.9","-2.5","-4.8"
". 3 pièces","","1 904","26.0","1 096","15.3","1 130","16.7","960","17.4","932","18.4","918","18.5","908","18.9","-1.5","-1.1"
". 4 pièces","","0","","369","5.2","371","5.5","485","8.8","392","7.8","463","9.3","461","9.6","18.1","-0.4"
". 5 pièces et plus","","","","341","4.8","342","5.1","335","6.1","288","5.7","325","6.6","404","8.4","12.8","24.3"
". Non déterminée","","541","7.4","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","5 986","83.8","5 567","82.2","4 940","89.5","4 732","93.7","4 738","95.6","4 674","97.1","0.1","-1.4"
". Chambre d'hôtel meublé","","-","","919","12.9","682","10.1","355","6.4","244","4.8","59","1.2","32","0.7","-75.8","-45.8"
". Pièce indépendante louée ou prêtée","","-","","228","3.2","482","7.1","225","4.1","76","1.5","156","3.1","110","2.3","105.3","-29.5"
". Construction provisoire,hab. de fortune","","-","","11","0.2","39","0.6","0","","0","","2","0.0","0","","","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 158","16.2","1 347","19.9","1 330","24.1","1 192","23.6","1 509","30.5","1 565","32.5","26.6","3.7"
". Locataire","","-","","5 404","75.6","4 830","71.3","3 780","68.5","3 356","66.4","2 918","58.9","2 840","59.0","-13.1","-2.7"
"d'un local loué vide HLM","","-","","-","","-","","-","","104","2.1","83","1.7","147","3.1","-20.2","77.1"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 820","55.8","2 630","53.1","2 406","50.0","-6.7","-8.5"
"d'un local loué meublé","","-","","-","","-","","-","","432","8.6","205","4.1","287","6.0","-52.5","40.0"
". Logé gratuitement","","-","","582","8.1","593","8.8","410","7.4","504","10.0","528","10.7","411","8.5","4.8","-22.2"
