"ARCHIVES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","7 129","100.0","6 819","100.0","6 037","100.0","5 200","100.0","4 880","100.0","4 927","100.0","4 728","100.0","1.0","-4.0"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 175","30.5","2 164","31.7","1 828","30.3","1 450","27.9","1 352","27.7","1 303","26.4","1 108","23.4","-3.6","-15.0"
". 2 pièces","","2 496","35.0","2 491","36.5","2 188","36.2","1 795","34.5","1 588","32.5","1 499","30.4","1 424","30.1","-5.6","-5.0"
". 3 pièces","","2 171","30.5","1 385","20.3","1 247","20.7","1 230","23.7","1 044","21.4","1 135","23.0","1 123","23.8","8.7","-1.1"
". 4 pièces","","0","","496","7.3","482","8.0","415","8.0","532","10.9","595","12.1","580","12.3","11.8","-2.5"
". 5 pièces et plus","","","","283","4.2","292","4.8","310","6.0","364","7.5","395","8.0","493","10.4","8.5","24.8"
". Non déterminée","","287","4.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","6 286","92.2","5 498","91.1","4 825","92.8","4 632","94.9","4 771","96.8","4 623","97.8","3.0","-3.1"
". Chambre d'hôtel meublé","","-","","377","5.5","247","4.1","150","2.9","96","2.0","32","0.6","8","0.2","-66.7","-75.0"
". Pièce indépendante louée ou prêtée","","-","","152","2.2","254","4.2","225","4.3","84","1.7","123","2.5","97","2.1","46.4","-21.1"
". Construction provisoire,hab. de fortune","","-","","4","0.1","38","0.6","0","","0","","1","0.0","0","","","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 014","14.9","1 096","18.2","1 150","22.1","1 244","25.5","1 563","31.7","1 617","34.2","25.6","3.5"
". Locataire","","-","","5 050","74.1","4 232","70.1","3 455","66.4","3 020","61.9","2 783","56.5","2 654","56.1","-7.8","-4.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","88","1.8","38","0.8","99","2.1","-56.8","160.5"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 704","55.4","2 559","51.9","2 321","49.1","-5.4","-9.3"
"d'un local loué meublé","","-","","-","","-","","-","","228","4.7","186","3.8","234","4.9","-18.4","25.8"
". Logé gratuitement","","-","","755","11.1","709","11.7","595","11.4","616","12.6","581","11.8","457","9.7","-5.7","-21.3"
