"SAINT AVOYE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","6 711","100.0","6 283","100.0","5 636","100.0","4 495","100.0","4 092","100.0","4 498","100.0","4 438","100.0","9.9","-1.3"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 725","40.6","2 727","43.4","2 290","40.6","1 630","36.3","1 372","33.5","1 448","32.2","1 437","32.4","5.5","-0.8"
". 2 pièces","","2 239","33.4","2 197","35.0","2 021","35.9","1 615","35.9","1 464","35.8","1 547","34.4","1 495","33.7","5.7","-3.4"
". 3 pièces","","1 396","20.8","967","15.4","904","16.0","890","19.8","764","18.7","896","19.9","880","19.8","17.3","-1.8"
". 4 pièces","","0","","264","4.2","275","4.9","270","6.0","300","7.3","384","8.5","394","8.9","28.0","2.6"
". 5 pièces et plus","","","","128","2.0","146","2.6","90","2.0","192","4.7","223","5.0","232","5.2","16.1","4.0"
". Non déterminée","","351","5.2","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","5 221","83.1","4 672","82.9","4 000","89.0","3 936","96.2","4 362","97.0","4 308","97.1","10.8","-1.2"
". Chambre d'hôtel meublé","","-","","801","12.7","620","11.0","290","6.5","108","2.6","26","0.6","18","0.4","-75.9","-30.8"
". Pièce indépendante louée ou prêtée","","-","","248","3.9","328","5.8","205","4.6","36","0.9","107","2.4","111","2.5","197.2","3.7"
". Construction provisoire,hab. de fortune","","-","","13","0.2","16","0.3","0","","4","0.1","3","0.1","1","0.0","-25.0","-66.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","922","14.7","984","17.5","1 050","23.4","1 052","25.7","1 429","31.8","1 328","29.9","35.8","-7.1"
". Locataire","","-","","4 845","77.1","4 164","73.9","3 105","69.1","2 660","65.0","2 628","58.4","2 746","61.9","-1.2","4.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","76","1.9","332","7.4","395","8.9","336.8","19.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 396","58.6","2 161","48.0","2 110","47.5","-9.8","-2.4"
"d'un local loué meublé","","-","","-","","-","","-","","188","4.6","135","3.0","241","5.4","-28.2","78.5"
". Logé gratuitement","","-","","516","8.2","488","8.7","340","7.6","380","9.3","441","9.8","364","8.2","16.1","-17.5"
