"NOTRE DAME","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","4 266","100.0","3 814","100.0","3 259","100.0","3 205","100.0","2 624","100.0","2 356","100.0","2 452","100.0","-10.2","4.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 412","33.1","1 416","37.1","1 013","31.1","1 035","32.3","704","26.8","625","26.5","758","30.9","-11.2","21.3"
". 2 pièces","","1 362","31.9","1 175","30.8","1 061","32.6","1 030","32.1","768","29.3","715","30.3","670","27.3","-6.9","-6.3"
". 3 pièces","","1 258","29.5","623","16.3","551","16.9","530","16.5","576","22.0","444","18.8","442","18.0","-22.9","-0.5"
". 4 pièces","","0","","267","7.0","287","8.8","275","8.6","320","12.2","284","12.1","286","11.7","-11.3","0.7"
". 5 pièces et plus","","","","333","8.7","347","10.6","335","10.5","256","9.8","288","12.2","296","12.1","12.5","2.8"
". Non déterminée","","234","5.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","3 325","87.2","2 936","90.1","3 020","94.2","2 560","97.6","2 256","95.8","2 365","96.5","-11.9","4.8"
". Chambre d'hôtel meublé","","-","","232","6.1","126","3.9","15","0.5","0","","1","0.0","0","","","-100.0"
". Pièce indépendante louée ou prêtée","","-","","231","6.1","191","5.9","165","5.1","64","2.4","98","4.2","87","3.5","53.1","-11.2"
". Construction provisoire,hab. de fortune","","-","","26","0.7","6","0.2","5","0.2","0","","1","0.0","0","","","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","819","21.5","790","24.2","825","25.7","820","31.3","796","33.8","839","34.2","-2.9","5.4"
". Locataire","","-","","2 475","64.9","2 014","61.8","1 845","57.6","1 388","52.9","1 167","49.5","1 248","50.9","-15.9","6.9"
"d'un local loué vide HLM","","-","","-","","-","","-","","20","0.8","9","0.4","33","1.3","-55.0","266.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 248","47.6","1 043","44.3","1 031","42.0","-16.4","-1.2"
"d'un local loué meublé","","-","","-","","-","","-","","120","4.6","115","4.9","184","7.5","-4.2","60.0"
". Logé gratuitement","","-","","520","13.6","455","14.0","535","16.7","416","15.9","393","16.7","365","14.9","-5.5","-7.1"
