"6ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","88 110","100.0","80 320","100.0","70 765","100.0","56 135","100.0","49 184","100.0","47 942","100.0","44 903","100.0","-2.5","-6.3"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","38 478","43.7","35 125","43.7","31 007","43.8","24 455","43.6","21 632","44.0","21 275","44.4","20 439","45.5","-1.7","-3.9"
". Femmes","49 632","56.3","45 195","56.3","39 758","56.2","31 680","56.4","27 552","56.0","26 667","55.6","24 464","54.5","-3.2","-8.3"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","23 375","27.5","20 523","25.6","17 871","25.3","13 955","24.9","12 040","24.4","11 752","24.5","10 663","26.5","-2.4","-9.3"
". Actifs femmes","21 666","25.5","20 215","25.2","17 621","24.9","13 480","24.0","11 544","23.4","11 690","24.4","10 635","26.4","1.3","-9.0"
". Actifs total","45 041","53.0","40 738","50.7","35 492","50.2","27 435","48.9","23 584","47.8","23 442","48.9","21 298","52.9","-0.6","-9.1"
". Inactifs hommes","13 400","15.8","14 602","18.2","13 136","18.6","10 500","18.7","9 768","19.8","9 523","19.9","7 325","18.2","-2.5","-23.1"
". Inactifs femmes","26 609","31.3","24 980","31.1","22 137","31.3","18 200","32.4","16 008","32.4","14 977","31.2","11 609","28.9","-6.4","-22.5"
". Inactifs total","40 009","47.0","39 582","49.3","35 273","49.8","28 700","51.1","25 776","52.2","24 500","51.1","18 934","47.1","-5.0","-22.7"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","83 326","94.6","73 350","91.3","63 439","89.6","49 310","87.8","42 912","87.2","42 238","88.1","39 524","88.0","-1.6","-6.4"
". Étrangers","4 784","5.4","6 970","8.7","7 326","10.4","6 825","12.2","6 272","12.8","5 704","11.9","5 379","12.0","-9.1","-5.7"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","4 380","5.0","3 220","4.0","2 540","3.6","1 895","3.4","1 464","3.0","1 561","3.3","1 403","3.1","6.6","-10.1"
".  5 à 14 ans","8 628","9.8","7 832","9.8","5 886","8.3","4 760","8.5","3 968","8.1","3 664","7.6","3 268","7.3","-7.7","-10.8"
". 15 à 24 ans","11 608","13.2","13 101","16.3","13 455","19.0","9 315","16.6","8 536","17.4","8 140","17.0","7 627","17.0","-4.6","-6.3"
". 25 à 34 ans","14 987","17.0","12 416","15.5","10 478","14.8","9 485","16.9","8 024","16.3","7 835","16.3","7 804","17.4","-2.4","-0.4"
". 35 à 64 ans","34 792","39.5","31 716","39.5","26 126","36.9","19 590","34.9","17 932","36.5","17 926","37.4","16 340","36.4","0.0","-8.8"
". 65 à 74 ans","7 229","8.2","7 548","9.4","7 391","10.4","6 375","11.4","4 256","8.7","4 149","8.7","4 072","9.1","-2.5","-1.9"
". 75 ans et plus","3 426","3.9","4 487","5.6","4 889","6.9","4 715","8.4","5 004","10.2","4 667","9.7","4 389","9.8","-6.7","-6.0"
