"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","39 390","100.0","39 609","100.0","37 141","100.0","34 690","100.0","33 688","100.0","31 977","100.0","30 200","100.0","-5.1","-5.6"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","11 514","29.2","12 575","31.7","11 522","31.0","9 925","28.6","8 892","26.4","8 022","25.1","7 310","24.2","-9.8","-8.9"
". 2 pièces","9 954","25.3","10 238","25.8","9 174","24.7","8 615","24.8","8 472","25.1","7 893","24.7","7 454","24.7","-6.8","-5.6"
". 3 pièces","5 733","14.6","5 869","14.8","5 652","15.2","5 890","17.0","5 860","17.4","5 612","17.6","5 161","17.1","-4.2","-8.0"
". 4 pièces","10 493","26.6","3 586","9.1","3 445","9.3","3 475","10.0","3 968","11.8","4 202","13.1","4 039","13.4","5.9","-3.9"
". 5 pièces et plus","","","7 341","18.5","7 348","19.8","6 785","19.6","6 496","19.3","6 248","19.5","6 236","20.6","-3.8","-0.2"
". Non déterminée","1 696","4.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","33 173","83.8","31 007","83.5","30 695","88.5","30 304","90.0","30 412","95.1","29 183","96.6","0.4","-4.0"
". Chambre d'hôtel meublé","-","","1 907","4.8","1 168","3.1","400","1.2","276","0.8","76","0.2","18","0.1","-72.5","-76.3"
". Pièce indépendante louée ou prêtée","-","","4 454","11.2","4 910","13.2","3 580","10.3","3 052","9.1","1 478","4.6","993","3.3","-51.6","-32.8"
". Construction provisoire,hab. de fortune","-","","75","0.2","56","0.2","15","0.0","12","0.0","11","0.0","6","0.0","-8.3","-45.5"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","4 444","11.3","8 346","21.1","8 706","23.4","9 750","28.1","9 988","29.6","10 530","32.9","10 710","35.5","5.4","1.7"
". Locataire","34 946","88.7","25 842","65.2","22 654","61.0","19 330","55.7","18 328","54.4","16 399","51.3","15 523","51.4","-10.5","-5.3"
"d'un local loué vide HLM","-","","-","","-","","-","","568","1.7","129","0.4","252","0.8","-77.3","95.3"
"d'un local loué vide non HLM","-","","-","","-","","-","","15 640","46.4","14 799","46.3","13 463","44.6","-5.4","-9.0"
"d'un local loué meublé","-","","-","","-","","-","","2 120","6.3","1 471","4.6","1 808","6.0","-30.6","22.9"
". Logé gratuitement","-","","5 421","13.7","5 781","15.6","5 610","16.2","5 372","15.9","5 048","15.8","3 967","13.1","-6.0","-21.4"
