"SAINT THOMAS D'AQUIN","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","9 214","100.0","9 163","100.0","8 257","100.0","7 535","100.0","7 336","100.0","6 769","100.0","6 580","100.0","-7.7","-2.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 745","29.8","3 059","33.4","2 596","31.4","2 090","27.7","1 832","25.0","1 568","23.2","1 531","23.3","-14.4","-2.4"
". 2 pièces","","1 914","20.8","2 023","22.1","1 768","21.4","1 700","22.6","1 796","24.5","1 475","21.8","1 447","22.0","-17.9","-1.9"
". 3 pièces","","3 953","42.9","1 288","14.1","1 162","14.1","1 225","16.3","1 172","16.0","1 179","17.4","1 045","15.9","0.6","-11.4"
". 4 pièces","","0","","898","9.8","794","9.6","850","11.3","884","12.1","929","13.7","927","14.1","5.1","-0.2"
". 5 pièces et plus","","","","1 895","20.7","1 937","23.5","1 670","22.2","1 652","22.5","1 618","23.9","1 630","24.8","-2.1","0.7"
". Non déterminée","","602","6.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","7 417","80.9","6 613","80.1","6 620","87.9","6 500","88.6","6 414","94.8","6 303","95.8","-1.3","-1.7"
". Chambre d'hôtel meublé","","-","","499","5.4","291","3.5","85","1.1","32","0.4","7","0.1","4","0.1","-78.1","-42.9"
". Pièce indépendante louée ou prêtée","","-","","1 223","13.3","1 348","16.3","830","11.0","792","10.8","347","5.1","272","4.1","-56.2","-21.6"
". Construction provisoire,hab. de fortune","","-","","24","0.3","5","0.1","0","","8","0.1","1","0.0","1","0.0","-87.5","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 008","21.9","1 912","23.2","2 120","28.1","2 312","31.5","2 416","35.7","2 451","37.2","4.5","1.4"
". Locataire","","-","","5 771","63.0","4 950","59.9","3 980","52.8","3 672","50.1","3 179","47.0","3 130","47.6","-13.4","-1.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","20","0.3","43","0.6","67","1.0","115.0","55.8"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 288","44.8","2 823","41.7","2 588","39.3","-14.1","-8.3"
"d'un local loué meublé","","-","","-","","-","","-","","364","5.0","313","4.6","475","7.2","-14.0","51.8"
". Logé gratuitement","","-","","1 384","15.1","1 395","16.9","1 435","19.0","1 352","18.4","1 174","17.3","999","15.2","-13.2","-14.9"
