"GROS CAILLOU","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","18 925","","100.0","18 271","100.0","17 071","100.0","15 990","100.0","15 516","100.0","14 857","100.0","13 936","100.0","-4.2","-6.2"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","5 900","31.2","6 081","33.3","5 439","31.9","4 735","29.6","4 396","28.3","3 987","26.8","3 614","25.9","-9.3","-9.4"
". 2 pièces","","5 080","26.8","5 041","27.6","4 547","26.6","4 185","26.2","4 072","26.2","3 975","26.8","3 778","27.1","-2.4","-5.0"
". 3 pièces","","6 984","36.9","2 679","14.7","2 635","15.4","2 715","17.0","2 656","17.1","2 623","17.7","2 394","17.2","-1.2","-8.7"
". 4 pièces","","0","","1 530","8.4","1 508","8.8","1 540","9.6","1 676","10.8","1 792","12.1","1 721","12.3","6.9","-4.0"
". 5 pièces et plus","","","","2 940","16.1","2 942","17.2","2 815","17.6","2 716","17.5","2 480","16.7","2 429","17.4","-8.7","-2.1"
". Non déterminée","","961","5.1","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","15 315","83.8","14 603","85.5","14 170","88.6","13 964","90.0","14 174","95.4","13 504","96.9","1.5","-4.7"
". Chambre d'hôtel meublé","","-","","1 111","6.1","614","3.6","235","1.5","176","1.1","55","0.4","7","0.1","-68.8","-87.3"
". Pièce indépendante louée ou prêtée","","-","","1 813","9.9","1 827","10.7","1 585","9.9","1 332","8.6","625","4.2","421","3.0","-53.1","-32.6"
". Construction provisoire,hab. de fortune","","-","","32","0.2","27","0.2","0","","4","0.0","3","0.0","4","0.0","-25.0","33.3"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 937","21.5","4 150","24.3","4 565","28.5","4 484","28.9","4 714","31.7","4 734","34.0","5.1","0.4"
". Locataire","","-","","12 454","68.2","10 838","63.5","9 395","58.8","9 064","58.4","8 163","54.9","7 687","55.2","-9.9","-5.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","516","3.3","78","0.5","147","1.1","-84.9","88.5"
"d'un local loué vide non HLM","","-","","-","","-","","-","","7 376","47.5","7 382","49.7","6 706","48.1","0.1","-9.2"
"d'un local loué meublé","","-","","-","","-","","-","","1 172","7.6","703","4.7","834","6.0","-40.0","18.6"
". Logé gratuitement","","-","","1 880","10.3","2 083","12.2","2 030","12.7","1 968","12.7","1 980","13.3","1 515","10.9","0.6","-23.5"
