"MADELEINE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","6 366","100.0","5 715","100.0","5 257","100.0","4 325","100.0","3 700","100.0","3 111","100.0","3 168","100.0","-15.9","1.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 314","36.3","2 192","38.4","1 960","37.3","1 280","29.6","1 064","28.8","818","26.3","825","26.0","-23.1","0.9"
". 2 pièces","","1 495","23.5","1 404","24.6","1 302","24.8","1 140","26.4","1 016","27.5","806","25.9","783","24.7","-20.7","-2.9"
". 3 pièces","","2 328","36.6","765","13.4","668","12.7","650","15.0","580","15.7","497","16.0","544","17.2","-14.3","9.5"
". 4 pièces","","0","","478","8.4","464","8.8","505","11.7","416","11.2","449","14.4","425","13.4","7.9","-5.3"
". 5 pièces et plus","","","","876","15.3","863","16.4","750","17.3","624","16.9","541","17.4","591","18.7","-13.3","9.2"
". Non déterminée","","229","3.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","4 552","79.7","3 973","75.6","3 670","84.9","3 244","87.7","2 947","94.7","3 058","96.5","-9.2","3.8"
". Chambre d'hôtel meublé","","-","","257","4.5","201","3.8","100","2.3","16","0.4","10","0.3","6","0.2","-37.5","-40.0"
". Pièce indépendante louée ou prêtée","","-","","896","15.7","1 080","20.5","555","12.8","440","11.9","152","4.9","102","3.2","-65.5","-32.9"
". Construction provisoire,hab. de fortune","","-","","10","0.2","3","0.1","0","","0","","2","0.1","2","0.1","","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","714","12.5","707","13.4","775","17.9","692","18.7","731","23.5","836","26.4","5.6","14.4"
". Locataire","","-","","3 672","64.3","3 224","61.3","2 570","59.4","2 104","56.9","1 709","54.9","1 787","56.4","-18.8","4.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","20","0.5","3","0.1","61","1.9","-85.0","1933.3"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 880","50.8","1 547","49.7","1 544","48.7","-17.7","-0.2"
"d'un local loué meublé","","-","","-","","-","","-","","204","5.5","159","5.1","182","5.7","-22.1","14.5"
". Logé gratuitement","","-","","1 329","23.3","1 326","25.2","980","22.7","904","24.4","671","21.6","545","17.2","-25.8","-18.8"
