"SAINT GEORGES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","16 574","","100.0","15 623","100.0","14 736","100.0","13 255","100.0","12 640","100.0","11 390","100.0","11 311","100.0","-9.9","-0.7"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","5 607","","33.8","6 078","38.9","5 328","36.2","4 455","33.6","3 608","28.5","3 036","26.7","2 906","25.7","-15.9","-4.3"
". 2 pièces","3 601","","21.7","3 637","23.3","3 528","23.9","3 370","25.4","3 252","25.7","2 916","25.6","2 873","25.4","-10.3","-1.5"
". 3 pièces","","6 086","36.7","2 707","17.3","2 582","17.5","2 390","18.0","2 580","20.4","2 399","21.1","2 287","20.2","-7.0","-4.7"
". 4 pièces","","0","","1 548","9.9","1 537","10.4","1 415","10.7","1 584","12.5","1 541","13.5","1 547","13.7","-2.7","0.4"
". 5 pièces et plus","","","","1 653","10.6","1 761","12.0","1 625","12.3","1 616","12.8","1 498","13.2","1 698","15.0","-7.3","13.4"
". Non déterminée","","1 280","7.7","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","12 273","78.6","11 620","78.9","10 985","82.9","11 612","91.9","10 849","95.3","10 904","96.4","-6.6","0.5"
". Chambre d'hôtel meublé","","-","","1 712","11.0","1 257","8.5","725","5.5","352","2.8","124","1.1","37","0.3","-64.8","-70.2"
". Pièce indépendante louée ou prêtée","","-","","1 601","10.2","1 765","12.0","1 535","11.6","664","5.3","416","3.7","362","3.2","-37.3","-13.0"
". Construction provisoire,hab. de fortune","","-","","37","0.2","94","0.6","10","0.1","8","0.1","1","0.0","8","0.1","-87.5","700.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 467","22.2","3 506","23.8","3 830","28.9","3 732","29.5","4 146","36.4","4 369","38.6","11.1","5.4"
". Locataire","","-","","10 347","66.2","9 312","63.2","7 910","59.7","7 516","59.5","5 957","52.3","5 932","52.4","-20.7","-0.4"
"d'un local loué vide HLM","","-","","-","","-","","-","","148","1.2","58","0.5","191","1.7","-60.8","229.3"
"d'un local loué vide non HLM","","-","","-","","-","","-","","6 552","51.8","5 435","47.7","5 207","46.0","-17.0","-4.2"
"d'un local loué meublé","","-","","-","","-","","-","","816","6.5","464","4.1","534","4.7","-43.1","15.1"
". Logé gratuitement","","-","","1 809","11.6","1 918","13.0","1 515","11.4","1 392","11.0","1 287","11.3","1 010","8.9","-7.5","-21.5"
