"CHAUSSEE D'ANTIN","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","4 522","100.0","4 057","100.0","3 650","100.0","2 885","100.0","2 624","100.0","2 209","100.0","1 985","100.0","-15.8","-10.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 612","35.6","1 662","41.0","1 488","40.8","1 020","35.4","904","34.5","714","32.3","631","31.8","-21.0","-11.6"
". 2 pièces","","1 140","25.2","1 145","28.2","966","26.5","820","28.4","824","31.4","670","30.3","599","30.2","-18.7","-10.6"
". 3 pièces","","1 409","31.2","621","15.3","566","15.5","570","19.8","452","17.2","389","17.6","344","17.3","-13.9","-11.6"
". 4 pièces","","0","","315","7.8","299","8.2","285","9.9","224","8.5","241","10.9","218","11.0","7.6","-9.5"
". 5 pièces et plus","","","","314","7.7","331","9.1","190","6.6","220","8.4","195","8.8","193","9.7","-11.4","-1.0"
". Non déterminée","","361","8.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","3 290","81.1","2 755","75.5","2 545","88.2","2 344","89.3","2 076","94.0","1 935","97.5","-11.4","-6.8"
". Chambre d'hôtel meublé","","-","","240","5.9","160","4.4","60","2.1","40","1.5","22","1.0","1","0.1","-45.0","-95.5"
". Pièce indépendante louée ou prêtée","","-","","523","12.9","734","20.1","280","9.7","236","9.0","110","5.0","49","2.5","-53.4","-55.5"
". Construction provisoire,hab. de fortune","","-","","4","0.1","1","0.0","0","","0","","1","0.0","0","","","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","359","8.8","395","10.8","370","12.8","352","13.4","440","19.9","406","20.5","25.0","-7.7"
". Locataire","","-","","2 731","67.3","2 355","64.5","1 925","66.7","1 756","66.9","1 398","63.3","1 348","67.9","-20.4","-3.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","40","1.5","2","0.1","19","1.0","-95.0","850.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 536","58.5","1 240","56.1","1 203","60.6","-19.3","-3.0"
"d'un local loué meublé","","-","","-","","-","","-","","180","6.9","156","7.1","126","6.3","-13.3","-19.2"
". Logé gratuitement","","-","","967","23.8","900","24.7","590","20.5","516","19.7","371","16.8","231","11.6","-28.1","-37.7"
