"PORTE SAINT DENIS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","11 299","","100.0","10 803","100.0","9 730","100.0","8 445","100.0","7 392","100.0","7 539","100.0","7 838","100.0","2.0","4.0"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","4 488","39.7","4 556","42.2","4 037","41.5","2 785","33.0","2 280","30.8","2 386","31.6","2 392","30.5","4.6","0.3"
". 2 pièces","","3 355","29.7","3 242","30.0","2 816","28.9","2 680","31.7","2 372","32.1","2 321","30.8","2 342","29.9","-2.2","0.9"
". 3 pièces","","3 066","27.1","1 821","16.9","1 694","17.4","1 845","21.8","1 464","19.8","1 491","19.8","1 598","20.4","1.8","7.2"
". 4 pièces","","0","","779","7.2","718","7.4","750","8.9","820","11.1","881","11.7","890","11.4","7.4","1.0"
". 5 pièces et plus","","","","405","3.7","465","4.8","385","4.6","456","6.2","460","6.1","616","7.9","0.9","33.9"
". Non déterminée","","390","3.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","8 779","81.3","7 685","79.0","7 480","88.6","7 040","95.2","7 263","96.3","7 554","96.4","3.2","4.0"
". Chambre d'hôtel meublé","","-","","1 128","10.4","983","10.1","395","4.7","168","2.3","101","1.3","47","0.6","-39.9","-53.5"
". Pièce indépendante louée ou prêtée","","-","","880","8.1","1 050","10.8","565","6.7","184","2.5","174","2.3","230","2.9","-5.4","32.2"
". Construction provisoire,hab. de fortune","","-","","16","0.1","12","0.1","5","0.1","0","","1","0.0","7","0.1","","600.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 938","17.9","2 038","20.9","2 235","26.5","1 980","26.8","2 280","30.2","2 601","33.2","15.2","14.1"
". Locataire","","-","","7 329","67.8","6 232","64.0","4 995","59.1","4 356","58.9","4 262","56.5","4 523","57.7","-2.2","6.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","4","0.1","87","1.2","290","3.7","2075.0","233.3"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 980","53.8","3 844","51.0","3 772","48.1","-3.4","-1.9"
"d'un local loué meublé","","-","","-","","-","","-","","372","5.0","331","4.4","461","5.9","-11.0","39.3"
". Logé gratuitement","","-","","1 536","14.2","1 460","15.0","1 215","14.4","1 056","14.3","997","13.2","714","9.1","-5.6","-28.4"
