"PORTE SAINT MARTIN","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","16 141","","100.0","15 478","100.0","14 307","100.0","12 445","100.0","12 212","100.0","12 229","100.0","12 426","100.0","0.1","1.6"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","5 406","","33.5","5 513","35.6","4 623","32.3","3 665","29.4","3 396","27.8","3 272","26.8","3 298","26.5","-3.7","0.8"
". 2 pièces","","5 354","33.2","5 248","33.9","5 044","35.3","4 480","36.0","4 284","35.1","4 251","34.8","4 231","34.0","-0.8","-0.5"
". 3 pièces","","4 698","29.1","2 983","19.3","2 909","20.3","2 575","20.7","2 720","22.3","2 751","22.5","2 775","22.3","1.1","0.9"
". 4 pièces","","0","","1 131","7.3","1 119","7.8","1 170","9.4","1 200","9.8","1 293","10.6","1 382","11.1","7.8","6.9"
". 5 pièces et plus","","","","603","3.9","612","4.3","555","4.5","612","5.0","662","5.4","740","6.0","8.2","11.8"
". Non déterminée","","683","4.2","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","13 099","84.6","12 774","89.3","11 575","93.0","11 604","95.0","11 763","96.2","11 994","96.5","1.4","2.0"
". Chambre d'hôtel meublé","","-","","1 192","7.7","830","5.8","465","3.7","328","2.7","176","1.4","147","1.2","-46.3","-16.5"
". Pièce indépendante louée ou prêtée","","-","","1 046","6.8","657","4.6","400","3.2","264","2.2","285","2.3","274","2.2","8.0","-3.9"
". Construction provisoire,hab. de fortune","","-","","141","0.9","46","0.3","5","0.0","16","0.1","5","0.0","11","0.1","-68.8","120.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 890","18.7","3 399","23.8","3 325","26.7","3 628","29.7","4 053","33.1","4 250","34.2","11.7","4.9"
". Locataire","","-","","11 051","71.4","9 354","65.4","7 855","63.1","7 304","59.8","6 998","57.2","7 188","57.8","-4.2","2.7"
"d'un local loué vide HLM","","-","","-","","-","","-","","60","0.5","231","1.9","553","4.5","285.0","139.4"
"d'un local loué vide non HLM","","-","","-","","-","","-","","6 520","53.4","6 260","51.2","5 885","47.4","-4.0","-6.0"
"d'un local loué meublé","","-","","-","","-","","-","","724","5.9","507","4.1","750","6.0","-30.0","47.9"
". Logé gratuitement","","-","","1 537","9.9","1 554","10.9","1 265","10.2","1 280","10.5","1 178","9.6","988","8.0","-8.0","-16.1"
