"HOPITAL SAINT LOUIS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","15 778","","100.0","15 063","100.0","14 820","100.0","13 435","100.0","13 972","100.0","15 001","100.0","15 436","100.0","7.4","2.9"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","5 692","36.1","5 649","37.5","5 347","36.1","4 545","33.8","4 436","31.7","4 427","29.5","4 411","28.6","-0.2","-0.4"
". 2 pièces","","6 430","40.8","6 372","42.3","6 164","41.6","5 715","42.5","5 708","40.9","5 800","38.7","5 727","37.1","1.6","-1.3"
". 3 pièces","","3 036","19.2","2 350","15.6","2 518","17.0","2 355","17.5","2 792","20.0","3 215","21.4","3 405","22.1","15.2","5.9"
". 4 pièces","","0","","514","3.4","613","4.1","600","4.5","768","5.5","1 149","7.7","1 386","9.0","49.6","20.6"
". 5 pièces et plus","","","","178","1.2","178","1.2","220","1.6","268","1.9","410","2.7","507","3.3","53.0","23.7"
". Non déterminée","","620","3.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","13 060","86.7","12 998","87.7","12 300","91.6","13 168","94.2","14 307","95.4","14 913","96.6","8.6","4.2"
". Chambre d'hôtel meublé","","-","","1 447","9.6","1 393","9.4","945","7.0","620","4.4","446","3.0","259","1.7","-28.1","-41.9"
". Pièce indépendante louée ou prêtée","","-","","515","3.4","372","2.5","180","1.3","72","0.5","245","1.6","258","1.7","240.3","5.3"
". Construction provisoire,hab. de fortune","","-","","41","0.3","57","0.4","10","0.1","0","","3","0.0","6","0.0","","100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 394","15.9","2 830","19.1","3 080","22.9","3 184","22.8","3 698","24.7","3 779","24.5","16.1","2.2"
". Locataire","","-","","11 398","75.7","10 709","72.3","9 375","69.8","9 760","69.9","10 289","68.6","10 808","70.0","5.4","5.0"
"d'un local loué vide HLM","","-","","-","","-","","-","","880","6.3","1 591","10.6","2 756","17.9","80.8","73.2"
"d'un local loué vide non HLM","","-","","-","","-","","-","","7 880","56.4","8 045","53.6","7 270","47.1","2.1","-9.6"
"d'un local loué meublé","","-","","-","","-","","-","","1 000","7.2","653","4.4","782","5.1","-34.7","19.8"
". Logé gratuitement","","-","","1 271","8.4","1 281","8.6","980","7.3","1 028","7.4","1 014","6.8","849","5.5","-1.4","-16.3"
