"SAINT AMBROISE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","18 993","","100.0","18 597","100.0","17 099","100.0","16 425","100.0","16 432","100.0","18 146","100.0","18 215","100.0","10.4","0.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","6 266","33.0","6 749","36.3","5 716","33.4","4 760","29.0","4 676","28.5","5 215","28.7","5 136","28.2","11.5","-1.5"
". 2 pièces","","7 381","38.9","7 344","39.5","6 812","39.8","6 560","39.9","6 552","39.9","6 693","36.9","6 540","35.9","2.2","-2.3"
". 3 pièces","","4 435","23.4","2 972","16.0","2 997","17.5","3 325","20.2","3 232","19.7","3 733","20.6","3 824","21.0","15.5","2.4"
". 4 pièces","","0","","898","4.8","920","5.4","1 160","7.1","1 232","7.5","1 670","9.2","1 764","9.7","35.6","5.6"
". 5 pièces et plus","","","","634","3.4","654","3.8","620","3.8","740","4.5","835","4.6","951","5.2","12.8","13.9"
". Non déterminée","","911","4.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","16 234","87.3","14 667","85.8","15 315","93.2","15 564","94.7","17 354","95.6","17 650","96.9","11.5","1.7"
". Chambre d'hôtel meublé","","-","","1 836","9.9","1 492","8.7","880","5.4","656","4.0","431","2.4","266","1.5","-34.3","-38.3"
". Pièce indépendante louée ou prêtée","","-","","517","2.8","777","4.5","230","1.4","200","1.2","358","2.0","272","1.5","79.0","-24.0"
". Construction provisoire,hab. de fortune","","-","","10","0.1","163","1.0","0","","4","0.0","3","0.0","27","0.1","-25.0","800.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 243","17.4","3 859","22.6","4 945","30.1","4 884","29.7","5 821","32.1","6 080","33.4","19.2","4.4"
". Locataire","","-","","13 995","75.3","11 876","69.5","10 365","63.1","10 432","63.5","10 895","60.0","10 872","59.7","4.4","-0.2"
"d'un local loué vide HLM","","-","","-","","-","","-","","384","2.3","477","2.6","793","4.4","24.2","66.2"
"d'un local loué vide non HLM","","-","","-","","-","","-","","8 968","54.6","9 551","52.6","9 088","49.9","6.5","-4.8"
"d'un local loué meublé","","-","","-","","-","","-","","1 080","6.6","867","4.8","991","5.4","-19.7","14.3"
". Logé gratuitement","","-","","1 359","7.3","1 364","8.0","1 115","6.8","1 116","6.8","1 430","7.9","1 263","6.9","28.1","-11.7"
