"ROQUETTE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","29 085","","100.0","27 681","100.0","26 464","100.0","25 310","100.0","24 656","100.0","26 113","100.0","26 761","100.0","5.9","2.5"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","9 838","33.8","10 222","36.9","9 204","34.8","7 785","30.8","7 388","30.0","7 304","28.0","7 487","28.0","-1.1","2.5"
". 2 pièces","12 252","","42.1","11 875","42.9","11 415","43.1","10 750","42.5","10 128","41.1","10 730","41.1","10 427","39.0","5.9","-2.8"
". 3 pièces","","5 595","19.2","4 118","14.9","4 294","16.2","4 810","19.0","4 912","19.9","5 193","19.9","5 367","20.1","5.7","3.4"
". 4 pièces","","0","","1 002","3.6","1 067","4.0","1 365","5.4","1 568","6.4","2 093","8.0","2 440","9.1","33.5","16.6"
". 5 pièces et plus","","","","464","1.7","484","1.8","600","2.4","660","2.7","793","3.0","1 040","3.9","20.2","31.1"
". Non déterminée","","1 400","4.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","24 499","88.5","23 310","88.1","23 440","92.6","23 176","94.0","24 992","95.7","25 919","96.9","7.8","3.7"
". Chambre d'hôtel meublé","","-","","2 484","9.0","2 309","8.7","1 425","5.6","1 080","4.4","646","2.5","442","1.7","-40.2","-31.6"
". Pièce indépendante louée ou prêtée","","-","","513","1.9","764","2.9","435","1.7","228","0.9","463","1.8","393","1.5","103.1","-15.1"
". Construction provisoire,hab. de fortune","","-","","185","0.7","81","0.3","10","0.0","4","0.0","12","0.0","7","0.0","200.0","-41.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","4 491","16.2","5 291","20.0","6 190","24.5","6 084","24.7","7 345","28.1","7 710","28.8","20.7","5.0"
". Locataire","","-","","21 381","77.2","19 262","72.8","17 255","68.2","16 580","67.2","16 936","64.9","17 389","65.0","2.1","2.7"
"d'un local loué vide HLM","","-","","-","","-","","-","","1 744","7.1","2 212","8.5","3 721","13.9","26.8","68.2"
"d'un local loué vide non HLM","","-","","-","","-","","-","","13 148","53.3","13 487","51.6","12 209","45.6","2.6","-9.5"
"d'un local loué meublé","","-","","-","","-","","-","","1 688","6.8","1 237","4.7","1 459","5.5","-26.7","17.9"
". Logé gratuitement","","-","","1 809","6.5","1 911","7.2","1 865","7.4","1 992","8.1","1 832","7.0","1 662","6.2","-8.0","-9.3"
