"SAINTE MARGUERITE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","20 999","","100.0","20 585","100.0","19 541","100.0","19 745","100.0","18 772","100.0","19 619","100.0","19 870","100.0","4.5","1.3"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","7 444","","35.4","7 522","36.5","6 414","32.8","5 585","28.3","4 936","26.3","4 964","25.3","4 826","24.3","0.6","-2.8"
". 2 pièces","","8 039","38.3","8 107","39.4","7 639","39.1","7 540","38.2","7 108","37.9","7 405","37.7","7 357","37.0","4.2","-0.6"
". 3 pièces","","4 706","22.4","3 776","18.3","4 072","20.8","4 635","23.5","4 600","24.5","4 757","24.2","4 699","23.6","3.4","-1.2"
". 4 pièces","","0","","834","4.1","1 019","5.2","1 455","7.4","1 584","8.4","1 816","9.3","2 105","10.6","14.6","15.9"
". 5 pièces et plus","","","","346","1.7","397","2.0","530","2.7","544","2.9","677","3.5","883","4.4","24.4","30.4"
". Non déterminée","","810","3.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","17 659","85.8","17 401","89.0","18 370","93.0","17 872","95.2","18 902","96.3","19 321","97.2","5.8","2.2"
". Chambre d'hôtel meublé","","-","","2 650","12.9","1 665","8.5","1 180","6.0","760","4.0","432","2.2","237","1.2","-43.2","-45.1"
". Pièce indépendante louée ou prêtée","","-","","263","1.3","454","2.3","190","1.0","124","0.7","279","1.4","307","1.5","125.0","10.0"
". Construction provisoire,hab. de fortune","","-","","13","0.1","21","0.1","5","0.0","8","0.0","6","0.0","5","0.0","-25.0","-16.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 575","17.4","4 254","21.8","5 525","28.0","5 232","27.9","6 447","32.9","6 753","34.0","23.2","4.7"
". Locataire","","-","","15 567","75.6","13 852","70.9","12 940","65.5","12 092","64.4","11 714","59.7","11 803","59.4","-3.1","0.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","744","4.0","1 087","5.5","1 640","8.3","46.1","50.9"
"d'un local loué vide non HLM","","-","","-","","-","","-","","10 288","54.8","9 819","50.0","9 199","46.3","-4.6","-6.3"
"d'un local loué meublé","","-","","-","","-","","-","","1 060","5.6","808","4.1","964","4.9","-23.8","19.3"
". Logé gratuitement","","-","","1 443","7.0","1 435","7.3","1 280","6.5","1 448","7.7","1 458","7.4","1 314","6.6","0.7","-9.9"
