"PICPUS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","27 579","","100.0","28 745","100.0","29 512","100.0","30 135","100.0","33 144","100.0","32 070","100.0","33 276","100.0","-3.2","3.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","7 158","","26.0","7 734","26.9","7 107","24.1","6 955","23.1","7 096","21.4","6 503","20.3","6 741","20.3","-8.4","3.7"
". 2 pièces","11 827","","42.9","11 803","41.1","11 797","40.0","11 405","37.8","12 272","37.0","11 894","37.1","11 851","35.6","-3.1","-0.4"
". 3 pièces","","7 513","27.2","6 330","22.0","6 990","23.7","7 445","24.7","8 512","25.7","8 226","25.7","8 476","25.5","-3.4","3.0"
". 4 pièces","","0","","2 051","7.1","2 576","8.7","2 965","9.8","3 780","11.4","3 785","11.8","4 259","12.8","0.1","12.5"
". 5 pièces et plus","","","","827","2.9","1 042","3.5","1 365","4.5","1 484","4.5","1 662","5.2","1 949","5.9","12.0","17.3"
". Non déterminée","","1 081","3.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","26 079","90.7","27 215","92.2","28 700","95.2","32 152","97.0","31 430","98.0","32 730","98.4","-2.2","4.1"
". Chambre d'hôtel meublé","","-","","2 060","7.2","1 727","5.9","880","2.9","596","1.8","215","0.7","196","0.6","-63.9","-8.8"
". Pièce indépendante louée ou prêtée","","-","","524","1.8","510","1.7","535","1.8","260","0.8","423","1.3","332","1.0","62.7","-21.5"
". Construction provisoire,hab. de fortune","","-","","82","0.3","60","0.2","20","0.1","4","0.0","2","0.0","18","0.1","-50.0","800.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","5 626","19.6","6 621","22.4","7 540","25.0","8 636","26.1","8 861","27.6","10 141","30.5","2.6","14.4"
". Locataire","","-","","20 818","72.4","20 469","69.4","20 305","67.4","22 076","66.6","21 011","65.5","21 328","64.1","-4.8","1.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","5 956","18.0","4 009","12.5","5 600","16.8","-32.7","39.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","14 892","44.9","16 135","50.3","14 547","43.7","8.3","-9.8"
"d'un local loué meublé","","-","","-","","-","","-","","1 228","3.7","867","2.7","1 181","3.5","-29.4","36.2"
". Logé gratuitement","","-","","2 301","8.0","2 422","8.2","2 290","7.6","2 432","7.3","2 198","6.9","1 807","5.4","-9.6","-17.8"
