"BERCY","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","4 212","100.0","4 258","100.0","3 998","100.0","3 805","100.0","4 064","100.0","4 190","100.0","6 195","100.0","3.1","47.9"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 151","27.3","1 185","27.8","980","24.5","960","25.2","988","24.3","962","23.0","1 193","19.3","-2.6","24.0"
". 2 pièces","","1 738","41.3","1 687","39.6","1 641","41.0","1 535","40.3","1 528","37.6","1 490","35.6","1 816","29.3","-2.5","21.9"
". 3 pièces","","1 202","28.5","1 005","23.6","978","24.5","870","22.9","1 044","25.7","1 100","26.3","1 542","24.9","5.4","40.2"
". 4 pièces","","0","","286","6.7","294","7.4","295","7.8","348","8.6","471","11.2","1 192","19.2","35.3","153.1"
". 5 pièces et plus","","","","95","2.2","105","2.6","145","3.8","156","3.8","167","4.0","452","7.3","7.1","170.7"
". Non déterminée","","121","2.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","3 797","89.2","3 602","90.1","3 570","93.8","3 872","95.3","4 035","96.3","6 087","98.3","4.2","50.9"
". Chambre d'hôtel meublé","","-","","427","10.0","305","7.6","210","5.5","184","4.5","106","2.5","59","1.0","-42.4","-44.3"
". Pièce indépendante louée ou prêtée","","-","","32","0.8","88","2.2","25","0.7","4","0.1","47","1.1","48","0.8","1075.0","2.1"
". Construction provisoire,hab. de fortune","","-","","2","0.0","3","0.1","0","","0","","2","0.0","1","0.0","","-50.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","864","20.3","1 010","25.3","1 095","28.8","1 136","28.0","1 089","26.0","1 213","19.6","-4.1","11.4"
". Locataire","","-","","2 884","67.7","2 504","62.6","2 335","61.4","2 480","61.0","2 836","67.7","4 696","75.8","14.4","65.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","412","10.1","627","15.0","2 157","34.8","52.2","244.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","1 796","44.2","2 049","48.9","2 366","38.2","14.1","15.5"
"d'un local loué meublé","","-","","-","","-","","-","","272","6.7","160","3.8","173","2.8","-41.2","8.1"
". Logé gratuitement","","-","","510","12.0","484","12.1","375","9.9","448","11.0","265","6.3","286","4.6","-40.8","7.9"
