"QUINZE VINGTS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","19 102","","100.0","18 658","100.0","17 496","100.0","15 440","100.0","15 456","100.0","13 580","100.0","13 853","100.0","-12.1","2.0"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","6 713","","35.1","7 009","37.6","6 130","35.0","4 815","31.2","4 668","30.2","3 542","26.1","3 520","25.4","-24.1","-0.6"
". 2 pièces","","6 784","35.5","6 537","35.0","6 262","35.8","5 715","37.0","5 540","35.8","4 883","36.0","4 786","34.5","-11.9","-2.0"
". 3 pièces","","5 024","26.3","3 054","16.4","3 049","17.4","2 860","18.5","3 036","19.6","2 849","21.0","2 939","21.2","-6.2","3.2"
". 4 pièces","","0","","1 167","6.3","1 187","6.8","1 215","7.9","1 264","8.2","1 472","10.8","1 634","11.8","16.5","11.0"
". 5 pièces et plus","","","","891","4.8","868","5.0","835","5.4","948","6.1","834","6.1","974","7.0","-12.0","16.8"
". Non déterminée","","581","3.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","15 779","84.6","15 013","85.8","13 740","89.0","14 180","91.7","13 099","96.5","13 462","97.2","-7.6","2.8"
". Chambre d'hôtel meublé","","-","","2 363","12.7","1 697","9.7","1 135","7.4","848","5.5","186","1.4","143","1.0","-78.1","-23.1"
". Pièce indépendante louée ou prêtée","","-","","476","2.6","767","4.4","560","3.6","416","2.7","293","2.2","245","1.8","-29.6","-16.4"
". Construction provisoire,hab. de fortune","","-","","40","0.2","19","0.1","5","0.0","4","0.0","2","0.0","3","0.0","-50.0","50.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 841","15.2","3 406","19.5","3 730","24.2","3 772","24.4","3 771","27.8","3 904","28.2","0.0","3.5"
". Locataire","","-","","14 083","75.5","12 326","70.5","9 890","64.1","10 328","66.8","8 743","64.4","9 016","65.1","-15.3","3.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","928","6.0","978","7.2","1 691","12.2","5.4","72.9"
"d'un local loué vide non HLM","","-","","-","","-","","-","","8 188","53.0","7 177","52.8","6 585","47.5","-12.3","-8.2"
"d'un local loué meublé","","-","","-","","-","","-","","1 212","7.8","588","4.3","740","5.3","-51.5","25.9"
". Logé gratuitement","","-","","1 734","9.3","1 764","10.1","1 820","11.8","1 356","8.8","1 066","7.8","933","6.7","-21.4","-12.5"
