"SECTEUR SECONDAIRE (2)","","21 844
29.7","12 595
18.2","10 148
13.6","9 876
12.6","6 213","8.6","-2.7","-37.1"
"dont","Industrie","15 728
21.4","8 855
12.8","7 844
10.5","7 004","8.9   
-","","-10.7",""
"",". Industrie agro-alimentaire","-","680
1.0","588
0.8","700","0.9   
-","","19.0",""
"",". Production et distribution d'énergie","-","180
0.3","1 244
1.7","1 116","1.4   
-","","-10.3",""
"",". Industrie des biens intermédiaires","-","1 125
1.6","780
1.0","640","0.8   
-","","-17.9",""
"",". Industrie des biens d'équipements","-","2 300
3.3","1 716
2.3","1 172","1.5   
-","","-31.7",""
"",". Industries des biens de consommations courantes","-","4 570
6.6","3 516
4.7","3 376","4.3   
-","","-4.0",""
"","Bâtiment et génie civil","6 116
8.3","3 740
5.4","2 304
3.1","2 872","3.7   
-","","24.7",""
"dont","Industrie","-","-","-","-","4 018","5.6","",""
"","Energie","-","-","-","-","480","0.7","",""
"","Construction","-","-","-","-","1 715","2.4","",""
"SECTEUR TERTIAIRE","","51 644
70.2","56 570
81.7","64 528
86.4","68 610
87.4","65 587","91.3","6.3","-4.4"
"dont","Commerce","8 640
11.7","7 185
10.4","6 572
8.8","5 864","7.5   
6 223","8.7","-10.8","6.1"
"","Transports et télécommunications","-","9 395
13.6","11 900
15.9","11 149","14.2","","-6.3",""
"","Services marchands","-","24 470
35.4","29 912
40.0","34 632","44.1","","15.8",""
"","Location et crédit bail immobilier","-","145
0.2","232
0.3","236","0.3","","1.7",""
"","Assurances","-","630
0.9","216
0.3","384","0.5","","77.8",""
"","Organismes financiers","-","1 065
1.5","1 012
1.4","1 600","2.0","","58.1",""
"","Services non marchands","-","13 680
19.8","14 684
19.7","14 745","18.8","","0.4",""
"dont","Transports","-","-","-","-","3 140","4.4","",""
"","Activités immobilières","-","-","-","-","1 698","2.4","",""
"","Activités financières","-","-","-","-","2 333","3.2","",""
"","Services aux entreprises","-","-","-","-","14 810","20.6","",""
"","Services aux particuliers","-","-","-","-","9 585","13.3","",""
"","Education","-","-","-","-","18 961","26.4","",""
"","Administration","-","-","-","-","8 837","12.3","",""
"TOTAL DES EMPLOIS EXERCÉS","","73 552
100.0","69 215
100.0","74 704
100.0","78 506
100.0","71 836","100.0","5.1","-8.5"
