"GRENELLE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","25 177","","100.0","25 183","100.0","26 069","100.0","24 915","100.0","25 580","100.0","25 519","100.0","26 513","100.0","-0.2","3.9"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","8 921","","35.4","8 970","35.6","8 790","33.7","6 955","27.9","7 396","28.9","6 544","25.6","6 539","24.7","-11.5","-0.1"
". 2 pièces","8 774","","34.8","8 631","34.3","8 705","33.4","8 665","34.8","8 504","33.2","8 783","34.4","8 933","33.7","3.3","1.7"
". 3 pièces","","6 729","26.7","4 792","19.0","5 283","20.3","5 445","21.9","5 512","21.5","5 753","22.5","5 757","21.7","4.4","0.1"
". 4 pièces","","0","","1 610","6.4","1 932","7.4","2 250","9.0","2 584","10.1","2 838","11.1","3 212","12.1","9.8","13.2"
". 5 pièces et plus","","","","1 180","4.7","1 359","5.2","1 600","6.4","1 584","6.2","1 601","6.3","2 072","7.8","1.1","29.4"
". Non déterminée","","753","3.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","20 689","82.2","21 914","84.1","22 815","91.6","24 208","94.6","24 680","96.7","25 964","97.9","1.9","5.2"
". Chambre d'hôtel meublé","","-","","3 673","14.6","2 922","11.2","1 300","5.2","744","2.9","261","1.0","93","0.4","-64.9","-64.4"
". Pièce indépendante louée ou prêtée","","-","","705","2.8","1 199","4.6","785","3.2","552","2.2","570","2.2","452","1.7","3.3","-20.7"
". Construction provisoire,hab. de fortune","","-","","116","0.5","34","0.1","15","0.1","16","0.1","8","0.0","4","0.0","-50.0","-50.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","5 289","21.0","6 214","23.8","6 895","27.7","7 548","29.5","8 248","32.3","8 792","33.2","9.3","6.6"
". Locataire","","-","","17 902","71.1","17 511","67.2","15 570","62.5","15 640","61.1","14 830","58.1","15 674","59.1","-5.2","5.7"
"d'un local loué vide HLM","","-","","-","","-","","-","","676","2.6","791","3.1","1 472","5.6","17.0","86.1"
"d'un local loué vide non HLM","","-","","-","","-","","-","","13 408","52.4","13 074","51.2","13 059","49.3","-2.5","-0.1"
"d'un local loué meublé","","-","","-","","-","","-","","1 556","6.1","965","3.8","1 143","4.3","-38.0","18.4"
". Logé gratuitement","","-","","1 992","7.9","2 344","9.0","2 450","9.8","2 392","9.4","2 441","9.6","2 047","7.7","2.0","-16.1"
