"Quartier 61","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"AUTEUIL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","35 256","100.0","36 681","100.0","37 495","100.0","37 168","100.0","36 191","100.0","34 893","100.0","-2.6","-3.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","11 241","31.9","13 742","37.5","16 815","44.8","17 980","48.4","18 278","50.5","17 808","51.0","1.7","-2.6"
". 2 personnes","","-","","10 486","29.7","10 442","28.5","10 655","28.4","10 244","27.6","9 707","26.8","9 130","26.2","-5.2","-5.9"
". 3 personnes","","-","","5 908","16.8","5 676","15.5","4 950","13.2","4 312","11.6","3 697","10.2","3 715","10.6","-14.3","0.5"
". 4 personnes","","-","","3 703","10.5","3 628","9.9","3 085","8.2","3 044","8.2","2 946","8.1","2 813","8.1","-3.2","-4.5"
". 5 personnes et plus","","-","","3 918","11.1","3 193","8.7","1 990","5.3","1 588","4.3","1 563","4.3","1 427","4.1","-1.6","-8.7"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","28 787","78.5","30 740","82.0","30 744","82.7","30 213","83.5","28 914","82.9","-1.7","-4.3"
". 1 enfant","","-","","-","","4 406","12.0","3 745","10.0","3 452","9.3","3 050","8.4","3 117","8.9","-11.6","2.2"
". 2 enfants","","-","","-","","2 367","6.5","2 125","5.7","2 200","5.9","2 094","5.8","2 056","5.9","-4.8","-1.8"
". 3 enfants ou plus","","-","","-","","1 121","3.1","885","2.4","772","2.1","834","2.3","806","2.3","8.0","-3.4"
"POPULATION DES MÉNAGES","","77 786","","87 494","","83 218","","76 410","","72 064","","68 939","","66 091","","-4.3","-4.1"
"Taille moyenne des ménages","","0.00","","2.48","","2.27","","2.04","","1.94","","1.90","","1.89","","-1.8","-0.6"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
