"Quartier 64","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"CHAILLOT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","13 663","100.0","14 369","100.0","13 974","100.0","13 850","100.0","14 404","100.0","14 522","100.0","14 052","100.0","0.8","-3.2"
"Résidences principales","-","","13 578","94.5","12 867","92.1","12 160","87.8","11 412","79.2","10 947","75.4","11 145","79.3","-4.1","1.8"
"Logements vacants (1)","-","","382","2.7","382","2.7","820","5.9","2 016","14.0","1 707","11.8","1 386","9.9","-15.3","-18.8"
"Résidences secondaires","-","","409","2.8","725","5.2","870","6.3","976","6.8","545","3.8","543","3.9","-44.2","-0.4"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","1 323","9.1","978","7.0","","-26.1"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","13 578","100.0","12 867","100.0","12 160","100.0","11 412","100.0","10 947","100.0","11 145","100.0","-4.1","1.8"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","11 065","81.5","9 991","77.6","8 630","71.0","6 968","61.1","7 606","69.5","7 383","66.2","9.2","-2.9"
". 1915 à 1948","0","","1 901","14.0","1 992","15.5","2 025","16.7","2 964","26.0","1 570","14.3","1 737","15.6","-47.0","10.6"
". 1949 à 1981","0","","612","4.5","884","6.9","1 505","12.4","1 480","13.0","1 707","15.6","1 831","16.4","15.3","7.3"
". 1982 à 1989","-","","-","","-","","-","","-","","64","0.6","99","0.9","","54.7"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","95","0.9","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","1 712","15.0","1 021","9.3","613","5.5","-40.4","-40.0"
". sans WC ou sans douche","-","","-","","-","","-","","1 304","11.4","958","8.8","964","8.6","-26.5","0.6"
"Total sans confort","-","","-","","-","","-","","3 016","26.4","1 979","18.1","1 577","14.1","-34.4","-20.3"
". WC et douche, sans chauffage central","-","","-","","-","","-","","1 068","9.4","755","6.9","371","3.3","-29.3","-50.9"
". WC et douche, avec chauffage central","-","","-","","-","","-","","7 328","64.2","8 213","75.0","9 197","82.5","12.1","12.0"
"Total confort","-","","-","","-","","-","","8 396","73.6","8 968","81.9","9 568","85.9","6.8","6.7"
"Avec WC intérieurs","8 821","","8 432","62.1","8 282","64.4","8 805","72.4","8 756","76.7","9 232","84.3","9 716","87.2","5.4","5.2"
"Avec baignoire ou douche","6 316","","7 194","53.0","8 018","62.3","8 695","71.5","9 356","82.0","9 662","88.3","10 384","93.2","3.3","7.5"
