"Quartier 66","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PLAINE MONCEAU","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 956","7.1","2 758","5.0","2 380","4.7","1 630","3.6","1 580","3.8","-3.1"
"Professions libérales et cadres supérieurs","5 086","9.1","5 776","10.5","5 260","10.5","5 670","12.6","5 540","13.5","-2.3"
"Cadres moyens","3 822","6.8","3 985","7.2","3 950","7.9","3 470","7.7","2 940","7.2","-15.3"
"Employés","5 081","9.1","4 896","8.9","4 149","8.3","3 850","8.6","3 660","8.9","-4.9"
"Ouvriers","3 735","6.7","3 521","6.4","3 235","6.5","2 600","5.8","2 440","5.9","-6.2"
"Personnel de service","6 411","11.5","5 803","10.5","5 036","10.0","3 375","7.5","2 360","5.8","-30.1"
"Autres actifs (2)","922","1.6","908","1.6","753","1.5","685","1.5","540","1.3","-21.2"
"ACTIFS","29 013","51.9","27 647","50.0","24 763","49.4","21 280","47.4","19 060","46.4","-10.4"
"Enfants de moins de 15 ans","8 945","16.0","8 159","14.8","6 558","13.1","5 765","12.8","6 112","14.9","6.0"
"Retraités","2 750","4.9","3 411","6.2","4 374","8.7","5 240","11.7","5 524","13.5","5.4"
"Autres sans activité professionnelle","15 211","27.2","16 041","29.0","14 437","28.8","12 630","28.1","10 344","25.2","-18.1"
"INACTIFS","26 906","48.1","27 611","50.0","25 369","50.6","23 635","52.6","21 980","53.6","-7.0"
"TOTAL","55 919","100.0","55 258","100.0","50 132","100.0","44 915","100.0","41 040","100.0","-8.6"
