"BATIGNOLLES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","27 437","","100.0","25 806","100.0","24 139","100.0","23 800","100.0","22 404","100.0","21 274","100.0","21 653","100.0","-5.0","1.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","9 887","","36.0","9 399","36.4","7 977","33.0","7 540","31.7","6 332","28.3","5 360","25.2","5 506","25.4","-15.4","2.7"
". 2 pièces","8 277","","30.2","7 989","31.0","7 591","31.4","7 610","32.0","7 316","32.7","7 162","33.7","7 210","33.3","-2.1","0.7"
". 3 pièces","","8 481","30.9","5 226","20.3","5 200","21.5","5 285","22.2","5 196","23.2","5 138","24.2","5 015","23.2","-1.1","-2.4"
". 4 pièces","","0","","1 987","7.7","2 075","8.6","2 180","9.2","2 300","10.3","2 365","11.1","2 499","11.5","2.8","5.7"
". 5 pièces et plus","","","","1 205","4.7","1 296","5.4","1 185","5.0","1 260","5.6","1 249","5.9","1 423","6.6","-0.9","13.9"
". Non déterminée","","792","2.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","21 250","82.3","20 364","84.4","21 405","89.9","20 880","93.2","20 159","94.8","20 850","96.3","-3.5","3.4"
". Chambre d'hôtel meublé","","-","","3 428","13.3","2 465","10.2","1 605","6.7","896","4.0","591","2.8","369","1.7","-34.0","-37.6"
". Pièce indépendante louée ou prêtée","","-","","1 123","4.4","1 255","5.2","785","3.3","620","2.8","515","2.4","431","2.0","-16.9","-16.3"
". Construction provisoire,hab. de fortune","","-","","5","0.0","55","0.2","5","0.0","4","0.0","9","0.0","3","0.0","125.0","-66.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","6 074","23.5","6 632","27.5","7 210","30.3","6 720","30.0","7 083","33.3","7 245","33.5","5.4","2.3"
". Locataire","","-","","17 771","68.9","15 392","63.8","14 415","60.6","13 748","61.4","12 304","57.8","12 873","59.5","-10.5","4.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","1 004","4.5","1 175","5.5","1 485","6.9","17.0","26.4"
"d'un local loué vide non HLM","","-","","-","","-","","-","","11 124","49.7","9 964","46.8","10 052","46.4","-10.4","0.9"
"d'un local loué meublé","","-","","-","","-","","-","","1 620","7.2","1 165","5.5","1 336","6.2","-28.1","14.7"
". Logé gratuitement","","-","","1 961","7.6","2 115","8.8","2 175","9.1","1 936","8.6","1 887","8.9","1 535","7.1","-2.5","-18.7"
