"18ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","16 965","6.4","13 038","5.1","11 059","4.7","8 085","3.9","6 360","3.4","-21.3"
"Professions libérales et cadres supérieurs","7 094","2.7","7 857","3.1","7 377","3.1","9 640","4.6","10 800","5.7","12.0"
"Cadres moyens","16 458","6.2","17 872","7.0","18 585","7.9","17 450","8.3","15 660","8.3","-10.3"
"Employés","36 196","13.6","36 851","14.4","33 718","14.2","30 610","14.6","25 380","13.4","-17.1"
"Ouvriers","52 495","19.8","46 800","18.2","40 373","17.1","33 465","16.0","26 880","14.2","-19.7"
"Personnel de service","16 280","6.1","15 476","6.0","14 902","6.3","12 395","5.9","10 860","5.7","-12.4"
"Autres actifs (2)","4 571","1.7","4 558","1.8","3 516","1.5","3 265","1.6","2 840","1.5","-13.0"
"ACTIFS","150 059","56.5","142 452","55.5","129 530","54.7","114 910","55.0","98 780","52.2","-14.0"
"Enfants de moins de 15 ans","41 560","15.6","37 704","14.7","31 335","13.2","27 495","13.2","25 028","13.2","-9.0"
"Retraités","19 373","7.3","24 442","9.5","29 339","12.4","32 765","15.7","31 264","16.5","-4.6"
"Autres sans activité professionnelle","54 683","20.6","51 963","20.3","46 531","19.7","33 830","16.2","34 268","18.1","1.3"
"INACTIFS","115 616","43.5","114 109","44.5","107 205","45.3","94 090","45.0","90 560","47.8","-3.8"
"TOTAL","265 675","100.0","256 561","100.0","236 735","100.0","209 000","100.0","189 340","100.0","-9.4"
