"GRANDES CARRIERES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","43 421","","100.0","42 914","100.0","41 213","100.0","39 375","100.0","37 732","100.0","38 361","100.0","38 165","100.0","1.7","-0.5"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","13 914","","32.0","14 013","32.7","12 571","30.5","11 025","28.0","9 916","26.3","9 507","24.8","9 075","23.8","-4.1","-4.5"
". 2 pièces","16 077","","37.0","16 601","38.7","15 985","38.8","15 410","39.1","14 700","39.0","15 257","39.8","14 807","38.8","3.8","-2.9"
". 3 pièces","11 833","","27.3","9 367","21.8","9 534","23.1","9 730","24.7","9 460","25.1","9 577","25.0","9 683","25.4","1.2","1.1"
". 4 pièces","","0","","2 146","5.0","2 215","5.4","2 375","6.0","2 632","7.0","2 986","7.8","3 284","8.6","13.4","10.0"
". 5 pièces et plus","","","","787","1.8","908","2.2","835","2.1","1 024","2.7","1 034","2.7","1 316","3.4","1.0","27.3"
". Non déterminée","","1 597","3.7","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","38 334","89.3","37 380","90.7","36 945","93.8","36 128","95.7","37 118","96.8","37 245","97.6","2.7","0.3"
". Chambre d'hôtel meublé","","-","","3 627","8.5","2 740","6.6","1 555","3.9","1 168","3.1","620","1.6","409","1.1","-46.9","-34.0"
". Pièce indépendante louée ou prêtée","","-","","830","1.9","1 051","2.6","855","2.2","336","0.9","614","1.6","504","1.3","82.7","-17.9"
". Construction provisoire,hab. de fortune","","-","","123","0.3","42","0.1","20","0.1","8","0.0","9","0.0","7","0.0","12.5","-22.2"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","9 247","21.5","9 946","24.1","9 955","25.3","9 968","26.4","10 987","28.6","11 807","30.9","10.2","7.5"
". Locataire","","-","","30 741","71.6","28 265","68.6","26 505","67.3","25 060","66.4","24 753","64.5","24 125","63.2","-1.2","-2.5"
"d'un local loué vide HLM","","-","","-","","-","","-","","4 568","12.1","5 020","13.1","6 353","16.6","9.9","26.6"
"d'un local loué vide non HLM","","-","","-","","-","","-","","18 452","48.9","18 279","47.6","16 217","42.5","-0.9","-11.3"
"d'un local loué meublé","","-","","-","","-","","-","","2 040","5.4","1 454","3.8","1 555","4.1","-28.7","6.9"
". Logé gratuitement","","-","","2 926","6.8","3 002","7.3","2 915","7.4","2 704","7.2","2 621","6.8","2 233","5.9","-3.1","-14.8"
