"CLIGNANCOURT","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","48 163","","100.0","46 619","100.0","44 537","100.0","41 705","100.0","37 644","100.0","37 310","100.0","37 063","100.0","-0.9","-0.7"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","15 332","","31.8","15 454","33.1","13 886","31.2","11 975","28.7","10 012","26.6","9 507","25.5","9 280","25.0","-5.0","-2.4"
". 2 pièces","19 352","","40.2","19 483","41.8","18 504","41.5","17 430","41.8","15 716","41.7","15 734","42.2","15 583","42.0","0.1","-1.0"
". 3 pièces","11 370","","23.6","9 137","19.6","9 409","21.1","9 240","22.2","8 852","23.5","8 689","23.3","8 573","23.1","-1.8","-1.3"
". 4 pièces","","0","","1 899","4.1","2 007","4.5","2 230","5.3","2 196","5.8","2 423","6.5","2 520","6.8","10.3","4.0"
". 5 pièces et plus","","","","646","1.4","731","1.6","830","2.0","868","2.3","957","2.6","1 107","3.0","10.3","15.7"
". Non déterminée","","2 109","4.4","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","40 292","86.4","39 579","88.9","38 530","92.4","35 456","94.2","35 590","95.4","35 678","96.3","0.4","0.2"
". Chambre d'hôtel meublé","","-","","5 089","10.9","4 092","9.2","2 445","5.9","1 804","4.8","1 057","2.8","770","2.1","-41.4","-27.2"
". Pièce indépendante louée ou prêtée","","-","","1 158","2.5","820","1.8","720","1.7","352","0.9","652","1.7","603","1.6","85.2","-7.5"
". Construction provisoire,hab. de fortune","","-","","80","0.2","46","0.1","10","0.0","16","0.0","11","0.0","12","0.0","-31.3","9.1"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","9 109","19.5","10 587","23.8","11 260","27.0","10 956","29.1","12 376","33.2","12 486","33.7","13.0","0.9"
". Locataire","","-","","34 548","74.1","30 764","69.1","27 380","65.7","23 780","63.2","22 275","59.7","22 290","60.1","-6.3","0.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","1 644","4.4","1 876","5.0","2 889","7.8","14.1","54.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","19 380","51.5","18 544","49.7","17 364","46.8","-4.3","-6.4"
"d'un local loué meublé","","-","","-","","-","","-","","2 756","7.3","1 855","5.0","2 037","5.5","-32.7","9.8"
". Logé gratuitement","","-","","2 962","6.4","3 186","7.2","3 065","7.3","2 908","7.7","2 659","7.1","2 287","6.2","-8.6","-14.0"
