"GOUTTE D'OR","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","17 933","","100.0","17 331","100.0","16 713","100.0","15 610","100.0","14 076","100.0","13 239","100.0","13 606","100.0","-5.9","2.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","6 646","37.1","6 931","40.0","6 346","38.0","5 330","34.1","4 376","31.1","3 939","29.8","3 985","29.3","-10.0","1.2"
". 2 pièces","","7 419","41.4","7 148","41.2","7 000","41.9","6 265","40.1","5 632","40.0","5 188","39.2","5 027","36.9","-7.9","-3.1"
". 3 pièces","","3 052","17.0","2 561","14.8","2 643","15.8","2 995","19.2","2 824","20.1","2 651","20.0","2 729","20.1","-6.1","2.9"
". 4 pièces","","0","","493","2.8","534","3.2","735","4.7","980","7.0","1 034","7.8","1 365","10.0","5.5","32.0"
". 5 pièces et plus","","","","198","1.1","190","1.1","285","1.8","264","1.9","427","3.2","500","3.7","61.7","17.1"
". Non déterminée","","816","4.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","14 180","81.8","14 136","84.6","13 615","87.2","12 836","91.2","12 269","92.7","12 864","94.5","-4.4","4.8"
". Chambre d'hôtel meublé","","-","","2 620","15.1","2 197","13.1","1 750","11.2","1 064","7.6","683","5.2","530","3.9","-35.8","-22.4"
". Pièce indépendante louée ou prêtée","","-","","464","2.7","344","2.1","235","1.5","156","1.1","273","2.1","197","1.4","75.0","-27.8"
". Construction provisoire,hab. de fortune","","-","","67","0.4","36","0.2","10","0.1","0","","14","0.1","15","0.1","","7.1"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 423","19.8","4 220","25.2","4 110","26.3","3 848","27.3","3 883","29.3","3 662","26.9","0.9","-5.7"
". Locataire","","-","","12 502","72.1","11 119","66.5","10 255","65.7","9 376","66.6","8 675","65.5","9 316","68.5","-7.5","7.4"
"d'un local loué vide HLM","","-","","-","","-","","-","","884","6.3","1 492","11.3","2 574","18.9","68.8","72.5"
"d'un local loué vide non HLM","","-","","-","","-","","-","","7 280","51.7","6 262","47.3","5 676","41.7","-14.0","-9.4"
"d'un local loué meublé","","-","","-","","-","","-","","1 212","8.6","921","7.0","1 066","7.8","-24.0","15.7"
". Logé gratuitement","","-","","1 406","8.1","1 374","8.2","1 245","8.0","852","6.1","681","5.1","628","4.6","-20.1","-7.8"
