"1er   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 255","11.0","3 061","8.4","2 323","7.2","1 320","5.9","1 020","5.6","-22.7"
"Professions libérales et cadres supérieurs","1 442","3.7","1 563","4.3","1 598","4.9","1 560","7.0","1 860","10.2","19.2"
"Cadres moyens","2 155","5.6","2 284","6.2","2 314","7.2","1 785","8.0","1 580","8.7","-11.5"
"Employés","5 623","14.5","5 312","14.5","4 506","13.9","3 160","14.1","1 920","10.5","-39.2"
"Ouvriers","5 434","14.1","5 010","13.7","4 442","13.7","2 435","10.9","1 840","10.1","-24.4"
"Personnel de service","3 806","9.8","3 398","9.3","2 878","8.9","1 900","8.5","1 500","8.2","-21.1"
"Autres actifs (2)","535","1.4","587","1.6","496","1.5","355","1.6","460","2.5","29.6"
"ACTIFS","23 250","60.1","21 215","57.9","18 557","57.4","12 515","56.0","10 180","55.8","-18.7"
"Enfants de moins de 15 ans","5 611","14.5","5 033","13.7","4 092","12.7","2 465","11.0","2 124","11.6","-13.8"
"Retraités","2 243","5.8","2 708","7.4","2 993","9.3","3 250","14.5","2 808","15.4","-13.6"
"Autres sans activité professionnelle","7 565","19.6","7 666","20.9","6 701","20.7","4 120","18.4","3 148","17.2","-23.6"
"INACTIFS","15 419","39.9","15 407","42.1","13 786","42.6","9 835","44.0","8 080","44.2","-17.8"
"TOTAL","38 669","100.0","36 622","100.0","32 343","100.0","22 350","100.0","18 260","100.0","-18.3"
