"2ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 739","10.8","3 445","8.4","2 466","6.9","1 500","5.7","760","3.5","-49.3"
"Professions libérales et cadres supérieurs","970","2.2","1 079","2.6","1 046","2.9","1 040","4.0","1 220","5.6","17.3"
"Cadres moyens","2 263","5.2","2 381","5.8","2 300","6.5","1 745","6.7","1 540","7.0","-11.7"
"Employés","5 913","13.5","5 720","14.0","4 777","13.4","3 550","13.5","3 160","14.4","-11.0"
"Ouvriers","8 208","18.8","7 583","18.5","6 728","18.9","4 780","18.2","2 980","13.6","-37.7"
"Personnel de service","4 148","9.5","3 531","8.6","3 059","8.6","2 010","7.7","1 700","7.7","-15.4"
"Autres actifs (2)","594","1.4","486","1.2","387","1.1","370","1.4","220","1.0","-40.5"
"ACTIFS","26 835","61.4","24 225","59.1","20 763","58.3","14 995","57.2","11 580","52.7","-22.8"
"Enfants de moins de 15 ans","6 348","14.5","5 733","14.0","4 703","13.2","3 050","11.6","2 472","11.2","-19.0"
"Retraités","2 452","5.6","3 114","7.6","3 413","9.6","3 700","14.1","3 656","16.6","-1.2"
"Autres sans activité professionnelle","8 049","18.4","7 887","19.3","6 714","18.9","4 480","17.1","4 272","19.4","-4.6"
"INACTIFS","16 849","38.6","16 734","40.9","14 830","41.7","11 230","42.8","10 400","47.3","-7.4"
"TOTAL","43 684","100.0","40 959","100.0","35 593","100.0","26 225","100.0","21 980","100.0","-16.2"
