"GAILLON","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","1 697","100.0","1 639","100.0","1 365","100.0","1 080","100.0","816","100.0","788","100.0","710","100.0","-3.4","-9.9"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","560","33.0","747","45.6","529","38.8","325","30.1","212","26.0","191","24.2","148","20.8","-9.9","-22.5"
". 2 pièces","","517","30.5","496","30.3","445","32.6","405","37.5","308","37.7","312","39.6","255","35.9","1.3","-18.3"
". 3 pièces","","459","27.0","239","14.6","225","16.5","165","15.3","164","20.1","162","20.6","146","20.6","-1.2","-9.9"
". 4 pièces","","0","","87","5.3","93","6.8","95","8.8","96","11.8","79","10.0","101","14.2","-17.7","27.8"
". 5 pièces et plus","","","","70","4.3","73","5.3","90","8.3","36","4.4","44","5.6","60","8.5","22.2","36.4"
". Non déterminée","","161","9.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","1 238","75.5","1 170","85.7","980","90.7","728","89.2","769","97.6","689","97.0","5.6","-10.4"
". Chambre d'hôtel meublé","","-","","184","11.2","41","3.0","35","3.2","20","2.5","2","0.3","0","","-90.0","-100.0"
". Pièce indépendante louée ou prêtée","","-","","215","13.1","151","11.1","50","4.6","68","8.3","17","2.2","20","2.8","-75.0","17.6"
". Construction provisoire,hab. de fortune","","-","","2","0.1","3","0.2","15","1.4","0","","0","","1","0.1","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","161","9.8","223","16.3","165","15.3","128","15.7","169","21.4","198","27.9","32.0","17.2"
". Locataire","","-","","1 177","71.8","795","58.2","710","65.7","528","64.7","498","63.2","418","58.9","-5.7","-16.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","8","1.0","1","0.1","7","1.0","-87.5","600.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","480","58.8","471","59.8","381","53.7","-1.9","-19.1"
"d'un local loué meublé","","-","","-","","-","","-","","40","4.9","26","3.3","30","4.2","-35.0","15.4"
". Logé gratuitement","","-","","301","18.4","347","25.4","205","19.0","160","19.6","121","15.4","94","13.2","-24.4","-22.3"
