"VIVIENNE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","3 248","100.0","2 972","100.0","2 497","100.0","2 025","100.0","1 756","100.0","1 714","100.0","1 733","100.0","-2.4","1.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","1 303","40.1","1 413","47.5","1 115","44.7","900","44.4","608","34.6","523","30.5","519","29.9","-14.0","-0.8"
". 2 pièces","","1 021","31.4","886","29.8","747","29.9","540","26.7","592","33.7","562","32.8","545","31.4","-5.1","-3.0"
". 3 pièces","","757","23.3","425","14.3","378","15.1","370","18.3","316","18.0","364","21.2","365","21.1","15.2","0.3"
". 4 pièces","","0","","158","5.3","159","6.4","145","7.2","152","8.7","154","9.0","164","9.5","1.3","6.5"
". 5 pièces et plus","","","","90","3.0","98","3.9","70","3.5","88","5.0","111","6.5","140","8.1","26.1","26.1"
". Non déterminée","","167","5.1","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","2 463","82.9","1 969","78.9","1 895","93.6","1 648","93.8","1 636","95.4","1 669","96.3","-0.7","2.0"
". Chambre d'hôtel meublé","","-","","268","9.0","265","10.6","75","3.7","40","2.3","9","0.5","7","0.4","-77.5","-22.2"
". Pièce indépendante louée ou prêtée","","-","","230","7.7","259","10.4","45","2.2","68","3.9","68","4.0","57","3.3","0.0","-16.2"
". Construction provisoire,hab. de fortune","","-","","11","0.4","4","0.2","10","0.5","0","","1","0.1","0","","","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","389","13.1","358","14.3","350","17.3","380","21.6","391","22.8","434","25.0","2.9","11.0"
". Locataire","","-","","2 045","68.8","1 652","66.2","1 385","68.4","1 116","63.6","1 056","61.6","1 078","62.2","-5.4","2.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","104","5.9","5","0.3","29","1.7","-95.2","480.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","936","53.3","992","57.9","945","54.5","6.0","-4.7"
"d'un local loué meublé","","-","","-","","-","","-","","76","4.3","59","3.4","104","6.0","-22.4","76.3"
". Logé gratuitement","","-","","538","18.1","487","19.5","290","14.3","260","14.8","267","15.6","221","12.8","2.7","-17.2"
