"Quartier 7","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"MAIL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","5 680","100.0","5 429","100.0","4 859","100.0","4 475","100.0","4 256","100.0","4 637","100.0","4 380","100.0","9.0","-5.5"
"Résidences principales","-","","5 316","97.9","4 706","96.9","4 085","91.3","3 608","84.8","3 568","76.9","3 448","78.7","-1.1","-3.4"
"Logements vacants (1)","-","","41","0.8","53","1.1","295","6.6","372","8.7","654","14.1","634","14.5","75.8","-3.1"
"Résidences secondaires","-","","72","1.3","100","2.1","95","2.1","276","6.5","61","1.3","112","2.6","-77.9","83.6"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","354","7.6","186","4.2","","-47.5"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","5 316","100.0","4 706","100.0","4 085","100.0","3 608","100.0","3 568","100.0","3 448","100.0","-1.1","-3.4"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","5 191","97.6","4 516","96.0","3 695","90.5","3 188","88.4","3 408","95.5","3 146","91.2","6.9","-7.7"
". 1915 à 1948","0","","78","1.5","183","3.9","270","6.6","356","9.9","72","2.0","188","5.5","-79.8","161.1"
". 1949 à 1981","0","","47","0.9","7","0.1","120","2.9","64","1.8","73","2.0","69","2.0","14.1","-5.5"
". 1982 à 1989","-","","-","","-","","-","","-","","15","0.4","9","0.3","","-40.0"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","36","1.0","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","1 000","27.7","492","13.8","191","5.5","-50.8","-61.2"
". sans WC ou sans douche","-","","-","","-","","-","","700","19.4","511","14.3","356","10.3","-27.0","-30.3"
"Total sans confort","-","","-","","-","","-","","1 700","47.1","1 003","28.1","547","15.9","-41.0","-45.5"
". WC et douche, sans chauffage central","-","","-","","-","","-","","956","26.5","761","21.3","354","10.3","-20.4","-53.5"
". WC et douche, avec chauffage central","-","","-","","-","","-","","952","26.4","1 804","50.6","2 547","73.9","89.5","41.2"
"Total confort","-","","-","","-","","-","","1 908","52.9","2 565","71.9","2 901","84.1","34.4","13.1"
"Avec WC intérieurs","1 799","","1 739","32.7","1 672","35.5","2 155","52.8","2 132","59.1","2 738","76.7","2 994","86.8","28.4","9.3"
"Avec baignoire ou douche","576","","990","18.6","1 361","28.9","2 085","51.0","2 388","66.2","2 903","81.4","3 164","91.8","21.6","9.0"
