"ARTS ET METIERS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","8 474","100.0","8 169","100.0","7 866","100.0","6 395","100.0","5 460","100.0","5 212","100.0","5 367","100.0","-4.5","3.0"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","3 652","43.1","3 861","47.3","3 590","45.6","2 510","39.2","2 084","38.2","1 778","34.1","1 772","33.0","-14.7","-0.3"
". 2 pièces","","2 472","29.2","2 452","30.0","2 377","30.2","2 125","33.2","1 780","32.6","1 716","32.9","1 778","33.1","-3.6","3.6"
". 3 pièces","","1 930","22.8","1 146","14.0","1 175","14.9","955","14.9","932","17.1","956","18.3","961","17.9","2.6","0.5"
". 4 pièces","","0","","432","5.3","458","5.8","460","7.2","412","7.5","488","9.4","495","9.2","18.4","1.4"
". 5 pièces et plus","","","","278","3.4","266","3.4","345","5.4","252","4.6","274","5.3","361","6.7","8.7","31.8"
". Non déterminée","","420","5.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","6 528","79.9","6 185","78.6","5 435","85.0","4 860","89.0","4 956","95.1","5 109","95.2","2.0","3.1"
". Chambre d'hôtel meublé","","-","","1 310","16.0","1 186","15.1","670","10.5","364","6.7","91","1.7","89","1.7","-75.0","-2.2"
". Pièce indépendante louée ou prêtée","","-","","318","3.9","488","6.2","290","4.5","180","3.3","163","3.1","167","3.1","-9.4","2.5"
". Construction provisoire,hab. de fortune","","-","","13","0.2","7","0.1","0","","8","0.1","2","0.0","2","0.0","-75.0","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 369","16.8","1 490","18.9","1 650","25.8","1 216","22.3","1 655","31.8","1 663","31.0","36.1","0.5"
". Locataire","","-","","6 007","73.5","5 603","71.2","4 105","64.2","3 564","65.3","2 952","56.6","3 183","59.3","-17.2","7.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","40","0.7","16","0.3","176","3.3","-60.0","1000.0"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 996","54.9","2 668","51.2","2 610","48.6","-10.9","-2.2"
"d'un local loué meublé","","-","","-","","-","","-","","528","9.7","268","5.1","397","7.4","-49.2","48.1"
". Logé gratuitement","","-","","793","9.7","773","9.8","640","10.0","680","12.5","605","11.6","521","9.7","-11.0","-13.9"
