"SAINT MERRI","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","6 740","100.0","6 484","100.0","5 670","100.0","4 405","100.0","3 844","100.0","3 707","100.0","3 869","100.0","-3.6","4.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 659","39.5","2 803","43.2","2 318","40.9","1 580","35.9","1 208","31.4","1 035","27.9","1 137","29.4","-14.3","9.9"
". 2 pièces","","1 956","29.0","1 954","30.1","1 707","30.1","1 230","27.9","1 272","33.1","1 145","30.9","1 162","30.0","-10.0","1.5"
". 3 pièces","","1 787","26.5","1 076","16.6","981","17.3","865","19.6","804","20.9","895","24.1","870","22.5","11.3","-2.8"
". 4 pièces","","0","","419","6.5","428","7.5","430","9.8","368","9.6","416","11.2","442","11.4","13.0","6.3"
". 5 pièces et plus","","","","232","3.6","236","4.2","300","6.8","192","5.0","216","5.8","258","6.7","12.5","19.4"
". Non déterminée","","338","5.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","5 092","78.5","4 533","79.9","3 855","87.5","3 700","96.3","3 579","96.5","3 780","97.7","-3.3","5.6"
". Chambre d'hôtel meublé","","-","","1 066","16.4","724","12.8","360","8.2","44","1.1","11","0.3","5","0.1","-75.0","-54.5"
". Pièce indépendante louée ou prêtée","","-","","317","4.9","409","7.2","190","4.3","92","2.4","115","3.1","83","2.1","25.0","-27.8"
". Construction provisoire,hab. de fortune","","-","","9","0.1","4","0.1","0","","0","","2","0.1","1","0.0","","-50.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","582","9.0","674","11.9","785","17.8","832","21.6","918","24.8","1 039","26.9","10.3","13.2"
". Locataire","","-","","5 313","81.9","4 430","78.1","3 165","71.9","2 552","66.4","2 354","63.5","2 487","64.3","-7.8","5.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","188","4.9","195","5.3","288","7.4","3.7","47.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 196","57.1","2 045","55.2","2 009","51.9","-6.9","-1.8"
"d'un local loué meublé","","-","","-","","-","","-","","168","4.4","114","3.1","190","4.9","-32.1","66.7"
". Logé gratuitement","","-","","589","9.1","566","10.0","455","10.3","460","12.0","435","11.7","343","8.9","-5.4","-21.1"
