"SAINT GERVAIS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","11 093","","100.0","10 221","100.0","8 963","100.0","7 220","100.0","6 684","100.0","6 573","100.0","6 568","100.0","-1.7","-0.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","4 648","41.9","4 497","44.0","3 691","41.2","2 570","35.6","2 164","32.4","2 167","33.0","2 159","32.9","0.1","-0.4"
". 2 pièces","","3 356","30.3","3 223","31.5","2 859","31.9","2 275","31.5","2 096","31.4","2 046","31.1","2 038","31.0","-2.4","-0.4"
". 3 pièces","","2 506","22.6","1 699","16.6","1 591","17.8","1 530","21.2","1 476","22.1","1 419","21.6","1 361","20.7","-3.9","-4.1"
". 4 pièces","","0","","532","5.2","555","6.2","565","7.8","620","9.3","628","9.6","617","9.4","1.3","-1.8"
". 5 pièces et plus","","","","270","2.6","267","3.0","280","3.9","328","4.9","313","4.8","393","6.0","-4.6","25.6"
". Non déterminée","","583","5.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","8 347","81.7","7 526","84.0","6 540","90.6","6 400","95.8","6 300","95.8","6 378","97.1","-1.6","1.2"
". Chambre d'hôtel meublé","","-","","1 516","14.8","1 130","12.6","455","6.3","152","2.3","110","1.7","43","0.7","-27.6","-60.9"
". Pièce indépendante louée ou prêtée","","-","","341","3.3","302","3.4","215","3.0","132","2.0","163","2.5","147","2.2","23.5","-9.8"
". Construction provisoire,hab. de fortune","","-","","17","0.2","5","0.1","10","0.1","0","","0","","0","","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 441","14.1","1 498","16.7","1 555","21.5","1 500","22.4","1 673","25.5","1 768","26.9","11.5","5.7"
". Locataire","","-","","7 909","77.4","6 626","73.9","4 855","67.2","4 516","67.6","4 092","62.3","4 143","63.1","-9.4","1.2"
"d'un local loué vide HLM","","-","","-","","-","","-","","428","6.4","730","11.1","893","13.6","70.6","22.3"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 532","52.8","2 954","44.9","2 708","41.2","-16.4","-8.3"
"d'un local loué meublé","","-","","-","","-","","-","","556","8.3","408","6.2","542","8.3","-26.6","32.8"
". Logé gratuitement","","-","","871","8.5","839","9.4","810","11.2","668","10.0","808","12.3","657","10.0","21.0","-18.7"
