"FAUBOURG DU ROULE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","8 224","100.0","7 854","100.0","7 330","100.0","6 405","100.0","6 148","100.0","5 236","100.0","5 243","100.0","-14.8","0.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 817","34.3","3 007","38.3","2 780","37.9","2 240","35.0","2 152","35.0","1 575","30.1","1 548","29.5","-26.8","-1.7"
". 2 pièces","","1 673","20.3","1 681","21.4","1 476","20.1","1 380","21.5","1 360","22.1","1 162","22.2","1 224","23.3","-14.6","5.3"
". 3 pièces","","3 358","40.8","870","11.1","818","11.2","850","13.3","780","12.7","775","14.8","713","13.6","-0.6","-8.0"
". 4 pièces","","0","","662","8.4","648","8.8","655","10.2","608","9.9","689","13.2","667","12.7","13.3","-3.2"
". 5 pièces et plus","","","","1 634","20.8","1 608","21.9","1 280","20.0","1 248","20.3","1 035","19.8","1 091","20.8","-17.1","5.4"
". Non déterminée","","376","4.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","6 254","79.6","5 623","76.7","5 375","83.9","5 292","86.1","4 929","94.1","5 047","96.3","-6.9","2.4"
". Chambre d'hôtel meublé","","-","","303","3.9","179","2.4","55","0.9","32","0.5","11","0.2","13","0.2","-65.6","18.2"
". Pièce indépendante louée ou prêtée","","-","","1 282","16.3","1 526","20.8","975","15.2","752","12.2","296","5.7","182","3.5","-60.6","-38.5"
". Construction provisoire,hab. de fortune","","-","","15","0.2","2","0.0","0","","0","","0","","1","0.0","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 038","13.2","1 056","14.4","1 200","18.7","1 304","21.2","1 244","23.8","1 430","27.3","-4.6","15.0"
". Locataire","","-","","5 462","69.5","4 915","67.1","4 010","62.6","3 828","62.3","3 217","61.4","3 197","61.0","-16.0","-0.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","180","2.9","28","0.5","75","1.4","-84.4","167.9"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 220","52.4","2 958","56.5","2 794","53.3","-8.1","-5.5"
"d'un local loué meublé","","-","","-","","-","","-","","428","7.0","231","4.4","328","6.3","-46.0","42.0"
". Logé gratuitement","","-","","1 354","17.2","1 359","18.5","1 195","18.7","1 016","16.5","775","14.8","616","11.7","-23.7","-20.5"
