"FAUBOURG MONTMARTRE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","8 259","100.0","7 568","100.0","6 948","100.0","6 265","100.0","5 736","100.0","5 041","100.0","4 915","100.0","-12.1","-2.5"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","3 220","39.0","3 188","42.1","2 785","40.1","2 630","42.0","1 896","33.1","1 538","30.5","1 305","26.6","-18.9","-15.1"
". 2 pièces","","2 129","25.8","2 051","27.1","1 899","27.3","1 625","25.9","1 620","28.2","1 419","28.1","1 356","27.6","-12.4","-4.4"
". 3 pièces","","2 528","30.6","1 239","16.4","1 157","16.7","1 105","17.6","1 200","20.9","994","19.7","1 026","20.9","-17.2","3.2"
". 4 pièces","","0","","613","8.1","641","9.2","555","8.9","572","10.0","628","12.5","665","13.5","9.8","5.9"
". 5 pièces et plus","","","","477","6.3","466","6.7","350","5.6","448","7.8","462","9.2","563","11.5","3.1","21.9"
". Non déterminée","","382","4.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","5 968","78.9","5 235","75.3","5 365","85.6","5 060","88.2","4 761","94.4","4 767","97.0","-5.9","0.1"
". Chambre d'hôtel meublé","","-","","838","11.1","483","7.0","275","4.4","184","3.2","51","1.0","17","0.3","-72.3","-66.7"
". Pièce indépendante louée ou prêtée","","-","","754","10.0","1 191","17.1","615","9.8","460","8.0","223","4.4","130","2.6","-51.5","-41.7"
". Construction provisoire,hab. de fortune","","-","","8","0.1","39","0.6","10","0.2","0","","6","0.1","1","0.0","","-83.3"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 236","16.3","1 222","17.6","1 240","19.8","1 304","22.7","1 424","28.2","1 514","30.8","9.2","6.3"
". Locataire","","-","","5 392","71.2","4 696","67.6","4 100","65.4","3 848","67.1","3 109","61.7","2 986","60.8","-19.2","-4.0"
"d'un local loué vide HLM","","-","","-","","-","","-","","48","0.8","37","0.7","192","3.9","-22.9","418.9"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 476","60.6","2 861","56.8","2 545","51.8","-17.7","-11.0"
"d'un local loué meublé","","-","","-","","-","","-","","324","5.6","211","4.2","249","5.1","-34.9","18.0"
". Logé gratuitement","","-","","940","12.4","1 030","14.8","925","14.8","584","10.2","508","10.1","415","8.4","-13.0","-18.3"
