"SAINT VINCENT DE PAUL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","14 598","","100.0","14 027","100.0","13 162","100.0","12 040","100.0","11 424","100.0","10 971","100.0","11 011","100.0","-4.0","0.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","4 026","27.6","4 088","29.1","3 690","28.0","2 945","24.5","2 536","22.2","2 293","20.9","2 323","21.1","-9.6","1.3"
". 2 pièces","","4 563","31.3","4 469","31.9","4 211","32.0","3 940","32.7","3 776","33.1","3 542","32.3","3 436","31.2","-6.2","-3.0"
". 3 pièces","","5 455","37.4","2 904","20.7","2 797","21.3","2 705","22.5","2 616","22.9","2 662","24.3","2 687","24.4","1.8","0.9"
". 4 pièces","","0","","1 521","10.8","1 423","10.8","1 465","12.2","1 548","13.6","1 576","14.4","1 503","13.6","1.8","-4.6"
". 5 pièces et plus","","","","1 045","7.4","1 041","7.9","985","8.2","948","8.3","898","8.2","1 062","9.6","-5.3","18.3"
". Non déterminée","","554","3.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","12 569","89.6","11 901","90.4","11 275","93.6","10 884","95.3","10 602","96.6","10 741","97.5","-2.6","1.3"
". Chambre d'hôtel meublé","","-","","432","3.1","349","2.7","140","1.2","156","1.4","28","0.3","34","0.3","-82.1","21.4"
". Pièce indépendante louée ou prêtée","","-","","1 018","7.3","845","6.4","625","5.2","380","3.3","337","3.1","233","2.1","-11.3","-30.9"
". Construction provisoire,hab. de fortune","","-","","8","0.1","67","0.5","0","","0","","4","0.0","3","0.0","","-25.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","2 795","19.9","3 008","22.9","3 500","29.1","3 556","31.1","3 876","35.3","3 959","36.0","9.0","2.1"
". Locataire","","-","","9 748","69.5","8 624","65.5","7 165","59.5","6 576","57.6","6 112","55.7","6 220","56.5","-7.1","1.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","132","1.2","286","2.6","453","4.1","116.7","58.4"
"d'un local loué vide non HLM","","-","","-","","-","","-","","5 940","52.0","5 471","49.9","5 230","47.5","-7.9","-4.4"
"d'un local loué meublé","","-","","-","","-","","-","","504","4.4","355","3.2","537","4.9","-29.6","51.3"
". Logé gratuitement","","-","","1 484","10.6","1 530","11.6","1 375","11.4","1 292","11.3","983","9.0","832","7.6","-23.9","-15.4"
