"FOLIE MERICOURT","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","22 238","","100.0","21 260","100.0","20 125","100.0","17 945","100.0","16 448","100.0","18 052","100.0","17 733","100.0","9.8","-1.8"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","8 345","","37.5","8 716","41.0","8 040","40.0","6 340","35.3","5 196","31.6","5 903","32.7","5 564","31.4","13.6","-5.7"
". 2 pièces","7 710","","34.7","7 661","36.0","7 036","35.0","6 680","37.2","5 776","35.1","6 417","35.5","6 164","34.8","11.1","-3.9"
". 3 pièces","","4 934","22.2","3 454","16.2","3 538","17.6","3 345","18.6","3 712","22.6","3 746","20.8","3 702","20.9","0.9","-1.2"
". 4 pièces","","0","","932","4.4","1 017","5.1","1 100","6.1","1 224","7.4","1 373","7.6","1 565","8.8","12.2","14.0"
". 5 pièces et plus","","","","497","2.3","494","2.5","480","2.7","540","3.3","613","3.4","738","4.2","13.5","20.4"
". Non déterminée","","1 249","5.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","17 575","82.7","16 466","81.8","15 570","86.8","14 972","91.0","16 846","93.3","16 914","95.4","12.5","0.4"
". Chambre d'hôtel meublé","","-","","3 163","14.9","3 068","15.2","1 925","10.7","1 224","7.4","842","4.7","443","2.5","-31.2","-47.4"
". Pièce indépendante louée ou prêtée","","-","","513","2.4","576","2.9","445","2.5","236","1.4","352","1.9","369","2.1","49.2","4.8"
". Construction provisoire,hab. de fortune","","-","","9","0.0","15","0.1","5","0.0","12","0.1","12","0.1","7","0.0","0.0","-41.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 809","17.9","4 405","21.9","4 650","25.9","4 612","28.0","5 456","30.2","5 461","30.8","18.3","0.1"
". Locataire","","-","","16 073","75.6","14 266","70.9","12 085","67.3","10 780","65.5","11 218","62.1","11 202","63.2","4.1","-0.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","884","5.4","1 076","6.0","1 813","10.2","21.7","68.5"
"d'un local loué vide non HLM","","-","","-","","-","","-","","8 292","50.4","8 863","49.1","8 152","46.0","6.9","-8.0"
"d'un local loué meublé","","-","","-","","-","","-","","1 604","9.8","1 279","7.1","1 237","7.0","-20.3","-3.3"
". Logé gratuitement","","-","","1 378","6.5","1 454","7.2","1 210","6.7","1 056","6.4","1 378","7.6","1 070","6.0","30.5","-22.4"
