"SECTEUR SECONDAIRE (2)","","31 552
38.6","22 865
26.9","16 952
20.3","13 891
15.8","8 680","9.7","-18.1","-37.5"
"dont","Industrie","24 280
29.7","15 740
18.5","13 196
15.8","10 827","12.3   
-","","-18.0",""
"",". Industrie agro-alimentaire","-","1 255
1.5","1 108
1.3","1 200","1.4   
-","","8.3",""
"",". Production et distribution d'énergie","-","725
0.9","1 024
1.2","864","1.0   
-","","-15.6",""
"",". Industrie des biens intermédiaires","-","1 730
2.0","1 100
1.3","941","1.1   
-","","-14.5",""
"",". Industrie des biens d'équipements","-","7 960
9.4","5 836
7.0","3 476","4.0   
-","","-40.4",""
"",". Industries des biens de consommations courantes","-","4 070
4.8","4 128
4.9","4 346","4.9   
-","","5.3",""
"","Bâtiment et génie civil","7 272
8.9","7 125
8.4","3 756
4.5","3 064","3.5   
-","","-18.4",""
"dont","Industrie","-","-","-","-","5 898","6.6","",""
"","Energie","-","-","-","-","672","0.8","",""
"","Construction","-","-","-","-","2 110","2.4","",""
"SECTEUR TERTIAIRE","","50 112
61.3","62 115
73.1","66 676
79.7","73 967
84.2","80 523","90.2","10.9","8.9"
"dont","Commerce","7 612
9.3","6 965
8.2","7 536
9.0","7 504","8.5   
7 018","7.9","-0.4","-6.5"
"","Transports et télécommunications","-","18 345
21.6","14 700
17.6","12 967","14.8","","-11.8",""
"","Services marchands","-","20 355
23.9","24 944
29.8","32 638","37.1","","30.8",""
"","Location et crédit bail immobilier","-","375
0.4","372
0.4","696","0.8","","87.1",""
"","Assurances","-","250
0.3","1 056
1.3","1 012","1.2","","-4.2",""
"","Organismes financiers","-","755
0.9","860
1.0","864","1.0","","0.5",""
"","Services non marchands","-","15 070
17.7","17 208
20.6","18 286","20.8","","6.3",""
"dont","Transports","-","-","-","-","5 518","6.2","",""
"","Activités immobilières","-","-","-","-","2 339","2.6","",""
"","Activités financières","-","-","-","-","2 797","3.1","",""
"","Services aux entreprises","-","-","-","-","18 044","20.2","",""
"","Services aux particuliers","-","-","-","-","11 033","12.4","",""
"","Education","-","-","-","-","21 547","24.1","",""
"","Administration","-","-","-","-","12 227","13.7","",""
"TOTAL DES EMPLOIS EXERCÉS","","81 716
100.0","85 010
100.0","83 636
100.0","87 882
100.0","89 316","100.0","5.1","1.6"
