"SALPETRIERE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","9 822","100.0","9 509","100.0","8 823","100.0","9 075","100.0","9 004","100.0","9 351","100.0","9 466","100.0","3.9","1.2"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 824","28.8","2 816","29.6","2 424","27.5","2 060","22.7","1 944","21.6","1 973","21.1","1 870","19.8","1.5","-5.2"
". 2 pièces","","3 467","35.3","3 557","37.4","3 221","36.5","3 265","36.0","2 984","33.1","3 063","32.8","3 132","33.1","2.6","2.3"
". 3 pièces","","3 038","30.9","2 334","24.5","2 324","26.3","2 450","27.0","2 536","28.2","2 664","28.5","2 690","28.4","5.0","1.0"
". 4 pièces","","0","","570","6.0","619","7.0","945","10.4","1 240","13.8","1 269","13.6","1 318","13.9","2.3","3.9"
". 5 pièces et plus","","","","232","2.4","235","2.7","355","3.9","300","3.3","382","4.1","456","4.8","27.3","19.4"
". Non déterminée","","493","5.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","8 419","88.5","7 816","88.6","8 510","93.8","8 624","95.8","8 979","96.0","9 260","97.8","4.1","3.1"
". Chambre d'hôtel meublé","","-","","959","10.1","783","8.9","445","4.9","328","3.6","246","2.6","103","1.1","-25.0","-58.1"
". Pièce indépendante louée ou prêtée","","-","","77","0.8","200","2.3","120","1.3","52","0.6","125","1.3","100","1.1","140.4","-20.0"
". Construction provisoire,hab. de fortune","","-","","54","0.6","24","0.3","0","","0","","1","0.0","3","0.0","","200.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 760","18.5","1 969","22.3","2 205","24.3","2 088","23.2","2 275","24.3","2 471","26.1","9.0","8.6"
". Locataire","","-","","6 792","71.4","6 024","68.3","6 000","66.1","6 024","66.9","6 299","67.4","6 317","66.7","4.6","0.3"
"d'un local loué vide HLM","","-","","-","","-","","-","","1 972","21.9","2 190","23.4","2 427","25.6","11.1","10.8"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 576","39.7","3 624","38.8","3 400","35.9","1.3","-6.2"
"d'un local loué meublé","","-","","-","","-","","-","","476","5.3","485","5.2","490","5.2","1.9","1.0"
". Logé gratuitement","","-","","957","10.1","830","9.4","870","9.6","892","9.9","777","8.3","678","7.2","-12.9","-12.7"
