"MAISON BLANCHE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","26 201","","100.0","25 963","100.0","27 551","100.0","29 440","100.0","31 100","100.0","30 799","100.0","32 631","100.0","-1.0","5.9"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","8 625","","32.9","8 400","32.4","8 374","30.4","7 550","25.6","7 384","23.7","6 614","21.5","6 900","21.1","-10.4","4.3"
". 2 pièces","10 156","","38.8","9 772","37.6","9 588","34.8","9 935","33.7","10 248","33.0","9 998","32.5","10 436","32.0","-2.4","4.4"
". 3 pièces","","6 489","24.8","5 629","21.7","6 463","23.5","7 335","24.9","8 044","25.9","8 182","26.6","8 427","25.8","1.7","3.0"
". 4 pièces","","0","","1 555","6.0","2 181","7.9","3 070","10.4","3 636","11.7","4 069","13.2","4 565","14.0","11.9","12.2"
". 5 pièces et plus","","","","607","2.3","945","3.4","1 550","5.3","1 788","5.7","1 936","6.3","2 303","7.1","8.3","19.0"
". Non déterminée","","931","3.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","24 123","92.9","25 691","93.2","28 150","95.6","30 380","97.7","30 228","98.1","32 126","98.5","-0.5","6.3"
". Chambre d'hôtel meublé","","-","","1 581","6.1","1 461","5.3","920","3.1","496","1.6","242","0.8","161","0.5","-51.2","-33.5"
". Pièce indépendante louée ou prêtée","","-","","165","0.6","301","1.1","355","1.2","168","0.5","321","1.0","323","1.0","91.1","0.6"
". Construction provisoire,hab. de fortune","","-","","94","0.4","98","0.4","15","0.1","12","0.0","8","0.0","21","0.1","-33.3","162.5"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 970","15.3","4 941","17.9","6 060","20.6","6 540","21.0","7 764","25.2","8 503","26.1","18.7","9.5"
". Locataire","","-","","20 441","78.7","20 437","74.2","21 475","72.9","22 064","70.9","20 852","67.7","22 060","67.6","-5.5","5.8"
"d'un local loué vide HLM","","-","","-","","-","","-","","8 236","26.5","7 804","25.3","10 589","32.5","-5.2","35.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","12 860","41.4","12 350","40.1","10 312","31.6","-4.0","-16.5"
"d'un local loué meublé","","-","","-","","-","","-","","968","3.1","698","2.3","1 159","3.6","-27.9","66.0"
". Logé gratuitement","","-","","1 552","6.0","2 173","7.9","1 905","6.5","2 496","8.0","2 183","7.1","2 068","6.3","-12.5","-5.3"
