"CROULEBARBE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","8 920","100.0","9 342","100.0","9 658","100.0","9 940","100.0","10 040","100.0","10 393","100.0","10 356","100.0","3.5","-0.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 619","29.4","2 703","28.9","2 656","27.5","2 540","25.6","2 600","25.9","2 465","23.7","2 311","22.3","-5.2","-6.2"
". 2 pièces","","3 469","38.9","3 676","39.3","3 586","37.1","3 695","37.2","3 416","34.0","3 536","34.0","3 566","34.4","3.5","0.8"
". 3 pièces","","2 623","29.4","2 193","23.5","2 291","23.7","2 360","23.7","2 524","25.1","2 615","25.2","2 590","25.0","3.6","-1.0"
". 4 pièces","","0","","484","5.2","689","7.1","825","8.3","1 004","10.0","1 109","10.7","1 142","11.0","10.5","3.0"
". 5 pièces et plus","","","","286","3.1","436","4.5","520","5.2","496","4.9","668","6.4","747","7.2","34.7","11.8"
". Non déterminée","","209","2.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","8 548","91.5","8 835","91.5","9 535","95.9","9 752","97.1","10 165","97.8","10 179","98.3","4.2","0.1"
". Chambre d'hôtel meublé","","-","","638","6.8","542","5.6","210","2.1","140","1.4","77","0.7","45","0.4","-45.0","-41.6"
". Pièce indépendante louée ou prêtée","","-","","111","1.2","253","2.6","195","2.0","96","1.0","148","1.4","132","1.3","54.2","-10.8"
". Construction provisoire,hab. de fortune","","-","","45","0.5","28","0.3","0","","4","0.0","3","0.0","0","","-25.0","-100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","1 934","20.7","2 192","22.7","2 790","28.1","2 836","28.2","3 101","29.8","3 226","31.2","9.3","4.0"
". Locataire","","-","","6 713","71.9","6 517","67.5","6 190","62.3","6 196","61.7","6 305","60.7","6 260","60.4","1.8","-0.7"
"d'un local loué vide HLM","","-","","-","","-","","-","","1 324","13.2","1 000","9.6","1 403","13.5","-24.5","40.3"
"d'un local loué vide non HLM","","-","","-","","-","","-","","4 492","44.7","5 038","48.5","4 462","43.1","12.2","-11.4"
"d'un local loué meublé","","-","","-","","-","","-","","380","3.8","267","2.6","395","3.8","-29.7","47.9"
". Logé gratuitement","","-","","695","7.4","949","9.8","960","9.7","1 008","10.0","987","9.5","870","8.4","-2.1","-11.9"
