"15ème   arrondissement","","1968","","1975","","1982","","1990","","","1999","","évolution en %"
"","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","","%","1982-1990
1990-1999"
"SECTEUR PRIMAIRE (1)","","88","0.1","40","0.0","36","0.0","84","0.1","","94","0.1","133.3
11.9"
"SECTEUR SECONDAIRE (2)","63 216","","39.2","44 475","27.4","28 944","18.8","19 471","13.2","15 384","","10.6","-32.7
-21.0"
"dont
Industrie","52 984","","32.9","36 480","22.5","23 788","15.4","14 971","10.2","","-","","-37.1"
". Industrie agro-alimentaire","","-","","1 380","0.9","1 092","0.7","1 176","0.8","","-","","7.7"
". Production et distribution d'énergie","","-","","3 015","1.9","2 744","1.8","888","0.6","","-","","-67.6"
". Industrie des biens intermédiaires","","-","","2 545","1.6","1 824","1.2","952","0.6","","-","","-47.8"
". Industrie des biens d'équipements","","-","","20 005","12.3","11 376","7.4","3 757","2.6","","-","","-67.0"
". Industries des biens de consommations courantes","","-","","9 535","5.9","6 752","4.4","8 198","5.6","","-","","21.4"
"Bâtiment et génie civil","10 232","","6.3","7 995","4.9","5 156","3.3","4 500","3.1","","-","","-12.7"
