"SAINT LAMBERT","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","37 723","","100.0","40 480","100.0","40 846","100.0","44 220","100.0","45 640","100.0","45 335","100.0","46 010","100.0","-0.7","1.5"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","12 138","","32.2","12 867","31.8","12 028","29.4","11 930","27.0","11 972","26.2","11 405","25.2","10 976","23.9","-4.7","-3.8"
". 2 pièces","13 914","","36.9","14 607","36.1","14 809","36.3","15 515","35.1","16 244","35.6","16 310","36.0","16 481","35.8","0.4","1.0"
". 3 pièces","10 620","","28.2","8 400","20.8","8 885","21.8","10 430","23.6","10 544","23.1","10 411","23.0","10 493","22.8","-1.3","0.8"
". 4 pièces","","0","","3 326","8.2","3 633","8.9","4 325","9.8","4 836","10.6","5 050","11.1","5 487","11.9","4.4","8.7"
". 5 pièces et plus","","","","1 280","3.2","1 491","3.7","2 020","4.6","2 044","4.5","2 159","4.8","2 573","5.6","5.6","19.2"
". Non déterminée","","1 051","2.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","36 245","89.5","37 299","91.3","42 310","95.7","44 160","96.8","44 389","97.9","45 296","98.4","0.5","2.0"
". Chambre d'hôtel meublé","","-","","3 111","7.7","2 199","5.4","820","1.9","424","0.9","186","0.4","83","0.2","-56.1","-55.4"
". Pièce indépendante louée ou prêtée","","-","","1 060","2.6","1 311","3.2","1 085","2.5","600","1.3","756","1.7","626","1.4","26.0","-17.2"
". Construction provisoire,hab. de fortune","","-","","64","0.2","37","0.1","5","0.0","36","0.1","4","0.0","5","0.0","-88.9","25.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","7 298","18.0","8 463","20.7","11 030","24.9","11 464","25.1","12 072","26.6","12 993","28.2","5.3","7.6"
". Locataire","","-","","30 033","74.2","28 782","70.5","29 255","66.2","30 756","67.4","29 967","66.1","30 246","65.7","-2.6","0.9"
"d'un local loué vide HLM","","-","","-","","-","","-","","6 172","13.5","5 842","12.9","7 849","17.1","-5.3","34.4"
"d'un local loué vide non HLM","","-","","-","","-","","-","","23 036","50.5","22 851","50.4","21 030","45.7","-0.8","-8.0"
"d'un local loué meublé","","-","","-","","-","","-","","1 548","3.4","1 274","2.8","1 367","3.0","-17.7","7.3"
". Logé gratuitement","","-","","3 149","7.8","3 601","8.8","3 935","8.9","3 420","7.5","3 296","7.3","2 771","6.0","-3.6","-15.9"
