"NECKER","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","24 698","","100.0","24 803","100.0","24 179","100.0","23 405","100.0","23 972","100.0","24 824","100.0","24 883","100.0","3.6","0.2"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","7 883","31.9","8 501","34.3","7 625","31.5","6 395","27.3","6 100","25.4","5 975","24.1","5 927","23.8","-2.0","-0.8"
". 2 pièces","","7 955","32.2","7 860","31.7","7 734","32.0","7 445","31.8","7 248","30.2","7 675","30.9","7 571","30.4","5.9","-1.4"
". 3 pièces","","8 151","33.0","4 832","19.5","4 903","20.3","5 235","22.4","5 668","23.6","5 843","23.5","5 776","23.2","3.1","-1.1"
". 4 pièces","","0","","1 927","7.8","2 048","8.5","2 405","10.3","2 768","11.5","3 269","13.2","3 281","13.2","18.1","0.4"
". 5 pièces et plus","","","","1 683","6.8","1 869","7.7","1 925","8.2","2 188","9.1","2 062","8.3","2 328","9.4","-5.8","12.9"
". Non déterminée","","709","2.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","20 917","84.3","20 993","86.8","21 785","93.1","23 084","96.3","24 186","97.4","24 400","98.1","4.8","0.9"
". Chambre d'hôtel meublé","","-","","2 646","10.7","1 965","8.1","735","3.1","292","1.2","116","0.5","40","0.2","-60.3","-65.5"
". Pièce indépendante louée ou prêtée","","-","","1 202","4.8","1 179","4.9","875","3.7","584","2.4","516","2.1","438","1.8","-11.6","-15.1"
". Construction provisoire,hab. de fortune","","-","","38","0.2","42","0.2","10","0.0","0","","6","0.0","5","0.0","","-16.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","4 915","19.8","5 630","23.3","5 975","25.5","6 120","25.5","6 852","27.6","7 468","30.0","12.0","9.0"
". Locataire","","-","","17 421","70.2","15 740","65.1","15 310","65.4","15 588","65.0","15 701","63.2","15 454","62.1","0.7","-1.6"
"d'un local loué vide HLM","","-","","-","","-","","-","","2 760","11.5","2 770","11.2","3 272","13.1","0.4","18.1"
"d'un local loué vide non HLM","","-","","-","","-","","-","","11 816","49.3","12 154","49.0","11 108","44.6","2.9","-8.6"
"d'un local loué meublé","","-","","-","","-","","-","","1 012","4.2","777","3.1","1 074","4.3","-23.2","38.2"
". Logé gratuitement","","-","","2 467","9.9","2 809","11.6","2 120","9.1","2 264","9.4","2 271","9.1","1 961","7.9","0.3","-13.7"
