"JAVEL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","17 196","","100.0","19 262","100.0","20 313","100.0","21 805","100.0","22 376","100.0","24 279","100.0","25 789","100.0","8.5","6.2"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","5 621","32.7","6 033","31.3","5 775","28.4","5 915","27.1","5 172","23.1","5 349","22.0","5 381","20.9","3.4","0.6"
". 2 pièces","","5 928","34.5","6 490","33.7","6 787","33.4","6 920","31.7","7 220","32.3","7 855","32.4","8 220","31.9","8.8","4.6"
". 3 pièces","","5 170","30.1","4 458","23.1","5 020","24.7","5 420","24.9","5 872","26.2","6 247","25.7","6 584","25.5","6.4","5.4"
". 4 pièces","","0","","1 567","8.1","1 849","9.1","2 375","10.9","2 768","12.4","3 317","13.7","3 783","14.7","19.8","14.0"
". 5 pièces et plus","","","","714","3.7","882","4.3","1 175","5.4","1 344","6.0","1 511","6.2","1 821","7.1","12.4","20.5"
". Non déterminée","","477","2.8","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","16 873","87.6","18 222","89.7","20 590","94.4","21 624","96.6","23 737","97.8","25 417","98.6","9.8","7.1"
". Chambre d'hôtel meublé","","-","","1 839","9.5","1 402","6.9","715","3.3","308","1.4","173","0.7","85","0.3","-43.8","-50.9"
". Pièce indépendante louée ou prêtée","","-","","449","2.3","660","3.2","490","2.2","360","1.6","365","1.5","286","1.1","1.4","-21.6"
". Construction provisoire,hab. de fortune","","-","","101","0.5","29","0.1","10","0.0","0","","4","0.0","1","0.0","","-75.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","4 172","21.7","4 864","23.9","5 795","26.6","5 984","26.7","6 836","28.2","7 253","28.1","14.2","6.1"
". Locataire","","-","","13 766","71.5","13 823","68.1","13 970","64.1","14 548","65.0","15 699","64.7","17 007","65.9","7.9","8.3"
"d'un local loué vide HLM","","-","","-","","-","","-","","2 732","12.2","4 067","16.8","5 195","20.1","48.9","27.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","11 028","49.3","11 052","45.5","11 139","43.2","0.2","0.8"
"d'un local loué meublé","","-","","-","","-","","-","","788","3.5","580","2.4","673","2.6","-26.4","16.0"
". Logé gratuitement","","-","","1 324","6.9","1 626","8.0","2 040","9.4","1 844","8.2","1 744","7.2","1 529","5.9","-5.4","-12.3"
