"TERNES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","24 483","","100.0","23 700","100.0","23 195","100.0","22 275","100.0","21 476","100.0","21 054","100.0","21 051","100.0","-2.0","0.0"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","7 538","","30.8","7 196","30.4","6 970","30.0","6 610","29.7","5 644","26.3","4 919","23.4","4 936","23.4","-12.8","0.3"
". 2 pièces","5 973","","24.4","5 993","25.3","5 712","24.6","5 590","25.1","5 692","26.5","5 699","27.1","5 732","27.2","0.1","0.6"
". 3 pièces","10 171","","41.5","4 745","20.0","4 572","19.7","4 295","19.3","4 516","21.0","4 723","22.4","4 524","21.5","4.6","-4.2"
". 4 pièces","","0","","2 502","10.6","2 566","11.1","2 695","12.1","2 684","12.5","2 924","13.9","2 976","14.1","8.9","1.8"
". 5 pièces et plus","","","","3 264","13.8","3 375","14.6","3 085","13.8","2 940","13.7","2 789","13.2","2 883","13.7","-5.1","3.4"
". Non déterminée","","801","3.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","19 873","83.9","19 628","84.6","19 265","86.5","19 632","91.4","20 354","96.7","20 405","96.9","3.7","0.3"
". Chambre d'hôtel meublé","","-","","1 430","6.0","907","3.9","455","2.0","276","1.3","82","0.4","48","0.2","-70.3","-41.5"
". Pièce indépendante louée ou prêtée","","-","","2 351","9.9","2 562","11.0","2 540","11.4","1 556","7.2","615","2.9","595","2.8","-60.5","-3.3"
". Construction provisoire,hab. de fortune","","-","","46","0.2","98","0.4","15","0.1","4","0.0","3","0.0","3","0.0","-25.0","0.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","5 332","22.5","5 611","24.2","6 020","27.0","6 448","30.0","6 704","31.8","6 944","33.0","4.0","3.6"
". Locataire","","-","","15 780","66.6","14 769","63.7","13 745","61.7","12 628","58.8","12 093","57.4","12 216","58.0","-4.2","1.0"
"d'un local loué vide HLM","","-","","-","","-","","-","","996","4.6","597","2.8","1 354","6.4","-40.1","126.8"
"d'un local loué vide non HLM","","-","","-","","-","","-","","10 428","48.6","10 775","51.2","9 843","46.8","3.3","-8.6"
"d'un local loué meublé","","-","","-","","-","","-","","1 204","5.6","721","3.4","1 019","4.8","-40.1","41.3"
". Logé gratuitement","","-","","2 588","10.9","2 815","12.1","2 510","11.3","2 400","11.2","2 257","10.7","1 891","9.0","-6.0","-16.2"
