"EPINETTES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","27 416","","100.0","28 096","100.0","27 324","100.0","25 930","100.0","24 240","100.0","23 201","100.0","24 146","100.0","-4.3","4.1"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","8 881","32.4","8 886","31.6","8 199","30.0","7 050","27.2","6 152","25.4","5 433","23.4","5 673","23.5","-11.7","4.4"
". 2 pièces","11 039","","40.3","11 308","40.2","10 749","39.3","10 230","39.5","9 628","39.7","9 320","40.2","9 602","39.8","-3.2","3.0"
". 3 pièces","","6 598","24.1","5 666","20.2","5 988","21.9","6 145","23.7","5 980","24.7","5 795","25.0","5 850","24.2","-3.1","0.9"
". 4 pièces","","0","","1 737","6.2","1 825","6.7","1 945","7.5","1 840","7.6","2 078","9.0","2 289","9.5","12.9","10.2"
". 5 pièces et plus","","","","499","1.8","563","2.1","560","2.2","640","2.6","575","2.5","732","3.0","-10.2","27.3"
". Non déterminée","","898","3.3","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","24 441","87.0","24 035","88.0","23 710","91.4","22 728","93.8","22 172","95.6","23 222","96.2","-2.4","4.7"
". Chambre d'hôtel meublé","","-","","3 236","11.5","2 639","9.7","1 750","6.7","1 204","5.0","656","2.8","557","2.3","-45.5","-15.1"
". Pièce indépendante louée ou prêtée","","-","","405","1.4","567","2.1","460","1.8","188","0.8","365","1.6","360","1.5","94.1","-1.4"
". Construction provisoire,hab. de fortune","","-","","14","0.0","83","0.3","10","0.0","0","","8","0.0","7","0.0","","-12.5"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","5 717","20.3","6 771","24.8","7 170","27.7","6 224","25.7","6 509","28.1","6 731","27.9","4.6","3.4"
". Locataire","","-","","20 527","73.1","18 457","67.5","16 880","65.1","16 448","67.9","15 244","65.7","16 177","67.0","-7.3","6.1"
"d'un local loué vide HLM","","-","","-","","-","","-","","3 304","13.6","3 927","16.9","4 850","20.1","18.9","23.5"
"d'un local loué vide non HLM","","-","","-","","-","","-","","11 348","46.8","10 287","44.3","9 980","41.3","-9.3","-3.0"
"d'un local loué meublé","","-","","-","","-","","-","","1 796","7.4","1 030","4.4","1 347","5.6","-42.7","30.8"
". Logé gratuitement","","-","","1 852","6.6","2 096","7.7","1 880","7.3","1 568","6.5","1 448","6.2","1 238","5.1","-7.7","-14.5"
