"Quartier 69","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"GRANDES CARRIERES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","6 362","6.5","4 864","5.1","4 140","4.7","3 090","4.0","2 500","3.6","-19.1"
"Professions libérales et cadres supérieurs","3 205","3.3","3 565","3.7","3 489","4.0","4 215","5.5","5 300","7.6","25.7"
"Cadres moyens","6 721","6.9","7 307","7.7","7 728","8.8","6 985","9.2","6 140","8.8","-12.1"
"Employés","13 244","13.5","13 373","14.1","12 170","13.9","11 360","14.9","9 420","13.4","-17.1"
"Ouvriers","16 829","17.2","14 885","15.7","12 476","14.3","9 615","12.6","7 840","11.2","-18.5"
"Personnel de service","6 041","6.2","5 947","6.3","5 527","6.3","4 730","6.2","4 000","5.7","-15.4"
"Autres actifs (2)","2 022","2.1","1 854","1.9","1 449","1.7","1 315","1.7","1 360","1.9","3.4"
"ACTIFS","54 424","55.6","51 795","54.5","46 979","53.7","41 310","54.1","36 560","52.2","-11.5"
"Enfants de moins de 15 ans","15 586","15.9","13 913","14.6","11 278","12.9","9 670","12.7","8 428","12.0","-12.8"
"Retraités","6 915","7.1","9 194","9.7","10 932","12.5","12 270","16.1","12 356","17.6","0.7"
"Autres sans activité professionnelle","21 011","21.5","20 175","21.2","18 216","20.8","13 070","17.1","12 736","18.2","-2.6"
"INACTIFS","43 512","44.4","43 282","45.5","40 426","46.3","35 010","45.9","33 520","47.8","-4.3"
"TOTAL","97 936","100.0","95 077","100.0","87 405","100.0","76 320","100.0","70 080","100.0","-8.2"
