"AMERIQUE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","19 630","","100.0","20 535","100.0","20 285","100.0","20 195","100.0","23 348","100.0","24 379","100.0","25 889","100.0","4.4","6.2"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","4 998","","25.5","5 816","28.3","5 040","24.8","4 480","22.2","4 568","19.6","4 624","19.0","4 762","18.4","1.2","3.0"
". 2 pièces","","7 754","39.5","7 884","38.4","7 850","38.7","7 455","36.9","7 948","34.0","8 117","33.3","8 422","32.5","2.1","3.8"
". 3 pièces","","6 264","31.9","4 883","23.8","5 093","25.1","5 365","26.6","7 072","30.3","7 053","28.9","7 492","28.9","-0.3","6.2"
". 4 pièces","","0","","1 484","7.2","1 677","8.3","1 925","9.5","2 620","11.2","3 270","13.4","3 699","14.3","24.8","13.1"
". 5 pièces et plus","","","","468","2.3","625","3.1","970","4.8","1 140","4.9","1 315","5.4","1 514","5.8","15.4","15.1"
". Non déterminée","","614","3.1","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","18 783","91.5","18 809","92.7","19 285","95.5","22 696","97.2","23 922","98.1","25 542","98.7","5.4","6.8"
". Chambre d'hôtel meublé","","-","","1 523","7.4","1 192","5.9","720","3.6","440","1.9","267","1.1","120","0.5","-39.3","-55.1"
". Pièce indépendante louée ou prêtée","","-","","144","0.7","229","1.1","155","0.8","144","0.6","186","0.8","219","0.8","29.2","17.7"
". Construction provisoire,hab. de fortune","","-","","85","0.4","55","0.3","35","0.2","4","0.0","4","0.0","8","0.0","0.0","100.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","3 378","16.4","3 924","19.3","4 520","22.4","4 588","19.7","5 263","21.6","6 120","23.6","14.7","16.3"
". Locataire","","-","","15 924","77.5","15 004","74.0","14 450","71.6","17 500","75.0","18 079","74.2","18 780","72.5","3.3","3.9"
"d'un local loué vide HLM","","-","","-","","-","","-","","6 732","28.8","7 644","31.4","10 005","38.6","13.5","30.9"
"d'un local loué vide non HLM","","-","","-","","-","","-","","10 044","43.0","9 883","40.5","8 227","31.8","-1.6","-16.8"
"d'un local loué meublé","","-","","-","","-","","-","","724","3.1","552","2.3","548","2.1","-23.8","-0.7"
". Logé gratuitement","","-","","1 233","6.0","1 357","6.7","1 225","6.1","1 260","5.4","1 037","4.3","989","3.8","-17.7","-4.6"
