"Quartier 1","1982","","1990","","1999","","","évolution en %"
"SAINT GERMAIN L'AUXERROIS","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","144","6.9","128","6.7","56","3.5","-11.1","-56.3"
"Cadres, professions intellectuelles supérieures","308","14.7","368","19.2","424","26.5","19.5","15.2"
"Professions intermédiaires","240","11.4","172","9.0","180","11.3","-28.3","4.7"
"Employés","368","17.5","280","14.6","180","11.3","-23.9","-35.7"
"Ouvriers","124","5.9","132","6.9","48","3.0","6.5","-63.6"
"Autres actifs (1)","8","0.4","8","0.4","16","1.0","0.0","100.0"
"ACTIFS","1 192","56.8","1 088","56.7","904","56.5","-8.7","-16.9"
"Enfants  de moins de 15 ans","240","11.4","228","11.9","144","9.0","-5.0","-36.8"
"Retraités","272","13.0","256","13.3","268","16.8","-5.9","4.7"
"Autres sans activité professionnelle","396","18.9","348","18.1","284","17.8","-12.1","-18.4"
"INACTIFS","908","43.2","832","43.3","696","43.5","-8.4","-16.3"
"TOTAL","2 100","100.0","1 920","100.0","1 600","100.0","-8.6","-16.7"
