"Quartier 2","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"HALLES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","9 542","100.0","9 357","100.0","9 016","100.0","6 865","100.0","6 748","100.0","7 468","100.0","7 476","100.0","10.7","0.1"
"Résidences principales","-","","9 148","97.8","8 504","94.3","6 040","88.0","5 292","78.4","5 686","76.1","5 372","71.9","7.4","-5.5"
"Logements vacants (1)","-","","74","0.8","241","2.7","635","9.2","1 220","18.1","1 100","14.7","1 381","18.5","-9.8","25.5"
"Résidences secondaires","-","","135","1.4","271","3.0","190","2.8","236","3.5","140","1.9","264","3.5","-40.7","88.6"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","542","7.3","459","6.1","","-15.3"
"Autres","-","","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","-","","9 148","100.0","8 504","100.0","6 040","100.0","5 292","100.0","5 686","100.0","5 372","100.0","7.4","-5.5"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","0","","8 861","96.9","8 173","96.1","5 580","92.4","3 944","74.5","5 243","92.2","4 732","88.1","32.9","-9.7"
". 1915 à 1948","0","","252","2.8","272","3.2","290","4.8","1 036","19.6","88","1.5","200","3.7","-91.5","127.3"
". 1949 à 1981","0","","35","0.4","59","0.7","170","2.8","312","5.9","78","1.4","119","2.2","-75.0","52.6"
". 1982 à 1989","-","","-","","-","","-","","-","","277","4.9","255","4.7","","-7.9"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","66","1.2","",""
". Non déterminée","0","","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","1 060","20.0","635","11.2","199","3.7","-40.1","-68.7"
". sans WC ou sans douche","-","","-","","-","","-","","1 104","20.9","665","11.7","428","8.0","-39.8","-35.6"
"Total sans confort","-","","-","","-","","-","","2 164","40.9","1 300","22.9","627","11.7","-39.9","-51.8"
". WC et douche, sans chauffage central","-","","-","","-","","-","","1 488","28.1","1 207","21.2","482","9.0","-18.9","-60.1"
". WC et douche, avec chauffage central","-","","-","","-","","-","","1 640","31.0","3 179","55.9","4 263","79.4","93.8","34.1"
"Total confort","-","","-","","-","","-","","3 128","59.1","4 386","77.1","4 745","88.3","40.2","8.2"
"Avec WC intérieurs","3 174","","2 835","31.0","3 080","36.2","3 110","51.5","3 632","68.6","4 652","81.8","4 875","90.7","28.1","4.8"
"Avec baignoire ou douche","986","","1 695","18.5","2 452","28.8","2 995","49.6","3 736","70.6","4 785","84.2","5 043","93.9","28.1","5.4"
