"HALLES","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","9 542","","100.0","9 148","100.0","8 504","100.0","6 040","100.0","5 292","100.0","5 686","100.0","5 372","100.0","7.4","-5.5"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","3 603","","37.8","4 131","45.2","3 530","41.5","2 115","35.0","1 592","30.1","1 752","30.8","1 607","29.9","10.1","-8.3"
". 2 pièces","2 865","","30.0","2 785","30.4","2 687","31.6","2 045","33.9","1 864","35.2","1 972","34.7","1 780","33.1","5.8","-9.7"
". 3 pièces","","2 409","25.2","1 484","16.2","1 467","17.3","1 245","20.6","1 120","21.2","1 160","20.4","1 162","21.6","3.6","0.2"
". 4 pièces","","0","","479","5.2","527","6.2","440","7.3","464","8.8","520","9.1","546","10.2","12.1","5.0"
". 5 pièces et plus","","","","269","2.9","293","3.4","195","3.2","252","4.8","282","5.0","277","5.2","11.9","-1.8"
". Non déterminée","","665","7.0","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","7 478","81.7","6 813","80.1","5 445","90.1","5 044","95.3","5 497","96.7","5 225","97.3","9.0","-4.9"
". Chambre d'hôtel meublé","","-","","1 350","14.8","1 139","13.4","395","6.5","144","2.7","46","0.8","34","0.6","-68.1","-26.1"
". Pièce indépendante louée ou prêtée","","-","","314","3.4","545","6.4","195","3.2","96","1.8","142","2.5","110","2.0","47.9","-22.5"
". Construction provisoire,hab. de fortune","","-","","6","0.1","7","0.1","5","0.1","4","0.1","1","0.0","3","0.1","-75.0","200.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","909","9.9","896","10.5","830","13.7","876","16.6","1 168","20.5","1 266","23.6","33.3","8.4"
". Locataire","","-","","7 373","80.6","6 623","77.9","4 685","77.6","3 792","71.7","3 943","69.3","3 652","68.0","4.0","-7.4"
"d'un local loué vide HLM","","-","","-","","-","","-","","172","3.3","350","6.2","508","9.5","103.5","45.1"
"d'un local loué vide non HLM","","-","","-","","-","","-","","3 336","63.0","3 347","58.9","2 875","53.5","0.3","-14.1"
"d'un local loué meublé","","-","","-","","-","","-","","284","5.4","246","4.3","269","5.0","-13.4","9.3"
". Logé gratuitement","","-","","866","9.5","985","11.6","525","8.7","624","11.8","575","10.1","454","8.5","-7.9","-21.0"
