"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","20 807","100.0","19 773","100.0","17 136","100.0","13 850","100.0","12 084","100.0","11 710","100.0","11 488","100.0","-3.1","-1.9"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","9 176","44.1","9 838","49.8","7 824","45.7","5 630","40.6","4 740","39.2","4 171","35.6","3 995","34.8","-12.0","-4.2"
". 2 pièces","6 138","29.5","5 989","30.3","5 354","31.2","4 460","32.2","4 040","33.4","4 046","34.6","3 844","33.5","0.1","-5.0"
". 3 pièces","2 741","13.2","2 630","13.3","2 546","14.9","2 490","18.0","2 128","17.6","2 235","19.1","2 152","18.7","5.0","-3.7"
". 4 pièces","1 407","6.8","871","4.4","903","5.3","780","5.6","804","6.7","808","6.9","943","8.2","0.5","16.7"
". 5 pièces et plus","","","445","2.3","509","3.0","490","3.5","372","3.1","450","3.8","554","4.8","21.0","23.1"
". Non déterminée","1 345","6.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","15 618","79.0","13 757","80.3","12 505","90.3","11 280","93.3","11 176","95.4","11 060","96.3","-0.9","-1.0"
". Chambre d'hôtel meublé","-","","2 904","14.7","2 116","12.3","875","6.3","308","2.5","151","1.3","94","0.8","-51.0","-37.7"
". Pièce indépendante louée ou prêtée","-","","1 224","6.2","1 220","7.1","415","3.0","452","3.7","381","3.3","331","2.9","-15.7","-13.1"
". Construction provisoire,hab. de fortune","-","","27","0.1","43","0.3","55","0.4","0","","2","0.0","3","0.0","","50.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","1 243","6.0","2 712","13.7","2 790","16.3","2 650","19.1","2 652","21.9","2 950","25.2","3 249","28.3","11.2","10.1"
". Locataire","19 564","94.0","14 817","74.9","12 144","70.9","9 595","69.3","7 908","65.4","7 424","63.4","7 183","62.5","-6.1","-3.2"
"d'un local loué vide HLM","-","","-","","-","","-","","232","1.9","98","0.8","251","2.2","-57.8","156.1"
"d'un local loué vide non HLM","-","","-","","-","","-","","7 044","58.3","6 864","58.6","6 200","54.0","-2.6","-9.7"
"d'un local loué meublé","-","","-","","-","","-","","632","5.2","462","3.9","732","6.4","-26.9","58.4"
". Logé gratuitement","-","","2 244","11.3","2 202","12.9","1 605","11.6","1 524","12.6","1 336","11.4","1 056","9.2","-12.3","-21.0"
