"2ème   arrondissement","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"","","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PERSONNES EXERCANT UN EMPLOI A PARIS","","","","","","","","","","","","",""
"","Total","95 372","100.0","100 080","100.0","90 448","100.0","88 412","100.0","61 672","100.0","-2.3","-30.2"
"dont :","habitent à Paris","44 892","47.1","41 025","41.0","33 628","37.2","31 040","35.1","22 911","37.1","-7.7","-26.2"
"","-  dans l'arrondissement du lieu de travail","11 016","11.6","5 105","5.1","3 528","3.9","3 176","3.6","3 692","6.0","-10.0","16.2"
"","-  dans un autre arrondissement","33 876","35.5","35 920","35.9","30 100","33.3","27 864","31.5","19 219","31.2","-7.4","-31.0"
"","habitent en banlieue  (Ile-de-France hors Paris)","48 856","51.2","56 525","56.5","52 748","58.3","52 692","59.6","35 580","57.7","-0.1","-32.5"
"","-  en Petite Couronne","33 932","35.6","36 060","36.0","31 284","34.6","29 420","33.3","20 047","32.5","-6.0","-31.9"
"","Hauts de Seine","11 840","12.4","11 120","11.1","9 536","10.5","9 156","10.4","7 070","11.5","-4.0","-22.8"
"","Seine Saint Denis","12 320","12.9","13 630","13.6","12 064","13.3","11 060","12.5","6 808","11.0","-8.3","-38.4"
"","Val de Marne","9 772","10.2","11 310","11.3","9 684","10.7","9 204","10.4","6 169","10.0","-5.0","-33.0"
"","-  en Grande Couronne","14 924","15.6","20 465","20.4","21 464","23.7","23 272","26.3","15 533","25.2","8.4","-33.3"
"","habitent en province","1 624","1.7","2 530","2.5","4 072","4.5","4 680","5.3","3 181","5.2","14.9","-32.0"
"PERSONNES AYANT UN EMPLOI ET RESIDANT A PARIS","","","","","","","","","","","","",""
"","Total","20 124","100.0","14 060","100.0","10 116","100.0","10 531","100.0","10 354","100.0","4.1","-1.7"
"dont :","travaillent à Paris","18 248","90.7","11 785","83.8","8 308","82.1","8 232","78.2","7 648","73.9","-0.9","-7.1"
"","-  dans l'arrondissement du lieu de résidence","11 016","54.7","5 105","36.3","3 528","34.9","3 176","30.2","3 692","35.7","-10.0","16.2"
"","-  dans un autre arrondissement","7 232","35.9","6 680","47.5","4 780","47.3","5 056","48.0","3 956","38.2","5.8","-21.8"
"","travaillent en banlieue  (Ile-de-France hors Paris)","1 792","8.9","2 115","15.0","1 692","16.7","2 140","20.3","2 558","24.7","26.5","19.5"
"","-  en Petite Couronne","1 544","7.7","1 815","12.9","1 412","14.0","1 636","15.5","1 914","18.5","15.9","17.0"
"","Hauts de Seine","916","4.6","955","6.8","712","7.0","896","8.5","1 178","11.4","25.8","31.5"
"","Seine Saint Denis","380","1.9","410","2.9","364","3.6","400","3.8","412","4.0","9.9","3.0"
"","Val de Marne","248","1.2","450","3.2","336","3.3","340","3.2","324","3.1","1.2","-4.7"
"","-  en Grande Couronne","248","1.2","300","2.1","280","2.8","504","4.8","644","6.2","80.0","27.8"
"","travaillent en province ou hors France métropolitaine","84","0.4","160","1.1","116","1.1","159","1.5","148","1.4","37.1","-6.9"
