"MAIL","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","","",""
"Total :","","5 680","100.0","5 316","100.0","4 706","100.0","4 085","100.0","3 608","100.0","3 568","100.0","3 448","100.0","-1.1","-3.4"
"TAILLE","","","","","","","","","","","","","","","","",""
". 1 pièce","","2 414","42.5","2 417","45.5","1 981","42.1","1 495","36.6","1 352","37.5","1 159","32.5","1 184","34.3","-14.3","2.2"
". 2 pièces","","1 770","31.2","1 683","31.7","1 494","31.7","1 400","34.3","1 172","32.5","1 271","35.6","1 119","32.5","8.4","-12.0"
". 3 pièces","","1 233","21.7","838","15.8","824","17.5","835","20.4","748","20.7","772","21.6","695","20.2","3.2","-10.0"
". 4 pièces","","0","","248","4.7","259","5.5","235","5.8","228","6.3","225","6.3","286","8.3","-1.3","27.1"
". 5 pièces et plus","","","","130","2.4","148","3.1","120","2.9","108","3.0","141","4.0","164","4.8","30.6","16.3"
". Non déterminée","","263","4.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","","",""
". Logement ordinaire","","-","","4 358","82.0","3 910","83.1","3 750","91.8","3 440","95.3","3 445","96.6","3 344","97.0","0.1","-2.9"
". Chambre d'hôtel meublé","","-","","553","10.4","452","9.6","210","5.1","76","2.1","29","0.8","23","0.7","-61.8","-20.7"
". Pièce indépendante louée ou prêtée","","-","","394","7.4","326","6.9","125","3.1","92","2.5","94","2.6","81","2.3","2.2","-13.8"
". Construction provisoire,hab. de fortune","","-","","11","0.2","18","0.4","0","","0","","0","","0","","",""
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","","",""
". Propriétaire","","-","","806","15.2","809","17.2","745","18.2","780","21.6","835","23.4","965","28.0","7.1","15.6"
". Locataire","","-","","3 900","73.4","3 235","68.7","2 825","69.2","2 292","63.5","2 323","65.1","2 175","63.1","1.4","-6.4"
"d'un local loué vide HLM","","-","","-","","-","","-","","12","0.3","52","1.5","95","2.8","333.3","82.7"
"d'un local loué vide non HLM","","-","","-","","-","","-","","2 124","58.9","2 148","60.2","1 851","53.7","1.1","-13.8"
"d'un local loué meublé","","-","","-","","-","","-","","156","4.3","123","3.4","229","6.6","-21.2","86.2"
". Logé gratuitement","","-","","610","11.5","662","14.1","515","12.6","536","14.9","410","11.5","308","8.9","-23.5","-24.9"
