"Quartier 8","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"BONNE NOUVELLE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 252","10.5","1 673","8.3","1 157","6.6","640","5.1","240","2.2","-62.5"
"Professions libérales et cadres supérieurs","290","1.4","349","1.7","323","1.8","350","2.8","500","4.6","42.9"
"Cadres moyens","897","4.2","932","4.6","905","5.2","705","5.6","680","6.2","-3.5"
"Employés","2 785","13.0","2 698","13.4","2 267","12.9","1 520","12.2","1 660","15.1","9.2"
"Ouvriers","4 704","22.0","4 444","22.1","3 993","22.8","2 870","22.9","1 920","17.5","-33.1"
"Personnel de service","1 934","9.0","1 671","8.3","1 449","8.3","895","7.2","860","7.8","-3.9"
"Autres actifs (2)","216","1.0","193","1.0","146","0.8","150","1.2","100","0.9","-33.3"
"ACTIFS","13 078","61.2","11 960","59.4","10 240","58.3","7 130","57.0","5 960","54.3","-16.4"
"Enfants de moins de 15 ans","3 170","14.8","2 859","14.2","2 400","13.7","1 450","11.6","1 136","10.3","-21.7"
"Retraités","1 212","5.7","1 569","7.8","1 644","9.4","1 800","14.4","1 804","16.4","0.2"
"Autres sans activité professionnelle","3 914","18.3","3 763","18.7","3 267","18.6","2 130","17.0","2 080","18.9","-2.3"
"INACTIFS","8 296","38.8","8 191","40.6","7 311","41.7","5 380","43.0","5 020","45.7","-6.7"
"TOTAL","21 374","100.0","20 151","100.0","17 551","100.0","12 510","100.0","10 980","100.0","-12.2"
