"Quartier 8","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"BONNE NOUVELLE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","9 846","100.0","8 546","100.0","6 660","100.0","5 904","100.0","5 640","100.0","5 597","100.0","-4.5","-0.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","4 374","44.4","3 738","43.7","3 290","49.4","3 408","57.7","3 243","57.5","3 296","58.9","-4.8","1.6"
". 2 personnes","","-","","2 894","29.4","2 594","30.4","1 980","29.7","1 512","25.6","1 432","25.4","1 393","24.9","-5.3","-2.7"
". 3 personnes","","-","","1 353","13.7","1 195","14.0","830","12.5","484","8.2","516","9.1","446","8.0","6.6","-13.6"
". 4 personnes","","-","","729","7.4","634","7.4","360","5.4","304","5.1","284","5.0","307","5.5","-6.6","8.1"
". 5 personnes et plus","","-","","496","5.0","385","4.5","200","3.0","196","3.3","165","2.9","155","2.8","-15.8","-6.1"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","6 891","80.6","5 620","84.4","5 164","87.5","4 870","86.3","4 817","86.1","-5.7","-1.1"
". 1 enfant","","-","","-","","996","11.7","690","10.4","388","6.6","457","8.1","451","8.1","17.8","-1.3"
". 2 enfants","","-","","-","","450","5.3","225","3.4","252","4.3","201","3.6","245","4.4","-20.2","21.9"
". 3 enfants ou plus","","-","","-","","209","2.4","125","1.9","100","1.7","112","2.0","84","1.5","12.0","-25.0"
"POPULATION DES MÉNAGES","","21 267","","20 000","","17 291","","12 365","","10 244","","9 701","","9 492","","-5.3","-2.2"
"Taille moyenne des ménages","","0.00","","2.03","","2.02","","1.86","","1.74","","1.72","","1.70","","-0.9","-1.4"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
